Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,441
Base Time Seconds,1470445551
Base Time Fractional,.470219780
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.519512871084e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.8505020141602,Volt DC,100,T,2W,F,F,08/06/2016,01:05:51,.470219780
2,1.455376352766e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0238151550293,Volt DC,100,T,2W,F,F,08/06/2016,01:05:52,.431224140
3,1.696300344634e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0506477355957,Volt DC,100,T,2W,F,F,08/06/2016,01:05:53,.006322080
4,1.751375222625e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0736656188965,Volt DC,100,T,2W,F,F,08/06/2016,01:05:53,.581347260
5,1.727653753392e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1006584167480,Volt DC,100,T,2W,F,F,08/06/2016,01:05:54,.156392540
6,1.719715569948e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1230850219727,Volt DC,100,T,2W,F,F,08/06/2016,01:05:54,.731426120
7,1.665687676677e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1497383117676,Volt DC,100,T,2W,F,F,08/06/2016,01:05:55,.306473420
8,1.709708641329e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1728477478027,Volt DC,100,T,2W,F,F,08/06/2016,01:05:55,.881513860
9,1.680245276248e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1996116638184,Volt DC,100,T,2W,F,F,08/06/2016,01:05:56,.456570760
10,1.700952090289e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2228393554688,Volt DC,100,T,2W,F,F,08/06/2016,01:05:57,.031643860
11,1.668363935892e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2495422363281,Volt DC,100,T,2W,F,F,08/06/2016,01:05:57,.606705240
12,1.685198114387e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2726898193359,Volt DC,100,T,2W,F,F,08/06/2016,01:05:58,.181797400
13,1.64032751826e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2993545532227,Volt DC,100,T,2W,F,F,08/06/2016,01:05:58,.756842480
14,1.613117284194e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3260383605957,Volt DC,100,T,2W,F,F,08/06/2016,01:05:59,.331950580
15,1.541313920939e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3493804931641,Volt DC,100,T,2W,F,F,08/06/2016,01:05:59,.906988080
16,1.506010249841e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3759536743164,Volt DC,100,T,2W,F,F,08/06/2016,01:06:00,.482073060
17,1.458308673818e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3992500305176,Volt DC,100,T,2W,F,F,08/06/2016,01:06:01,.057135600
18,1.444844244247e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4258232116699,Volt DC,100,T,2W,F,F,08/06/2016,01:06:01,.632188480
19,1.42710137041e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4492683410645,Volt DC,100,T,2W,F,F,08/06/2016,01:06:02,.207290940
20,1.386975601037e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4760818481445,Volt DC,100,T,2W,F,F,08/06/2016,01:06:02,.782344600
21,1.258714288355e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4991760253906,Volt DC,100,T,2W,F,F,08/06/2016,01:06:03,.357411580
22,1.126687720898e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5261154174805,Volt DC,100,T,2W,F,F,08/06/2016,01:06:03,.932452640
23,9.993747163151e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5495033264160,Volt DC,100,T,2W,F,F,08/06/2016,01:06:04,.507491080
24,8.824446062761e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4602775573730,Volt DC,100,T,2W,F,F,08/06/2016,01:06:05,.124053600
25,7.532594104021e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5993270874023,Volt DC,100,T,2W,F,F,08/06/2016,01:06:06,.085071040
26,6.378536365759e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5212135314941,Volt DC,100,T,2W,F,F,08/06/2016,01:06:06,.701720460
27,5.683387982458e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6494102478027,Volt DC,100,T,2W,F,F,08/06/2016,01:06:07,.662730640
28,5.261602709083e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5804939270020,Volt DC,100,T,2W,F,F,08/06/2016,01:06:08,.279360560
29,4.778806239614e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6992492675781,Volt DC,100,T,2W,F,F,08/06/2016,01:06:09,.240359460
30,4.307275869309e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6334877014160,Volt DC,100,T,2W,F,F,08/06/2016,01:06:09,.856948720
31,3.521340996571e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7492866516113,Volt DC,100,T,2W,F,F,08/06/2016,01:06:10,.817940680
32,3.336571241519e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6884613037109,Volt DC,100,T,2W,F,F,08/06/2016,01:06:11,.434518600
33,3.457692132613e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7992210388184,Volt DC,100,T,2W,F,F,08/06/2016,01:06:12,.395577840
34,3.338675780284e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7376823425293,Volt DC,100,T,2W,F,F,08/06/2016,01:06:13,.012170820
35,3.281546590017e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7637557983398,Volt DC,100,T,2W,F,F,08/06/2016,01:06:14,.146004340
36,3.119335234558e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7919235229492,Volt DC,100,T,2W,F,F,08/06/2016,01:06:15,.279852360
37,2.92378965483e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8156585693359,Volt DC,100,T,2W,F,F,08/06/2016,01:06:16,.413712400
38,2.808123955589e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8419303894043,Volt DC,100,T,2W,F,F,08/06/2016,01:06:17,.547567080
39,2.709483304386e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8660240173340,Volt DC,100,T,2W,F,F,08/06/2016,01:06:18,.681401300
40,2.637522422688e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8950538635254,Volt DC,100,T,2W,F,F,08/06/2016,01:06:19,.815239740
41,2.541437504888e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9153289794922,Volt DC,100,T,2W,F,F,08/06/2016,01:06:20,.949059200
42,2.573887769586e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9430541992188,Volt DC,100,T,2W,F,F,08/06/2016,01:06:22,.082869440
43,2.411632449295e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9660110473633,Volt DC,100,T,2W,F,F,08/06/2016,01:06:23,.216737860
44,2.341817184615e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9936408996582,Volt DC,100,T,2W,F,F,08/06/2016,01:06:24,.350601820
45,2.273095267569e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0166778564453,Volt DC,100,T,2W,F,F,08/06/2016,01:06:25,.484412000
46,2.2771355912e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0435943603516,Volt DC,100,T,2W,F,F,08/06/2016,01:06:26,.618285440
47,2.220357675498e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0672874450684,Volt DC,100,T,2W,F,F,08/06/2016,01:06:27,.752119820
48,2.141453014914e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0937957763672,Volt DC,100,T,2W,F,F,08/06/2016,01:06:28,.885955420
49,2.031608214992e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1162910461426,Volt DC,100,T,2W,F,F,08/06/2016,01:06:30,.019799260
50,2.038242463698e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1442527770996,Volt DC,100,T,2W,F,F,08/06/2016,01:06:31,.153649460
51,2.034679535967e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1707954406738,Volt DC,100,T,2W,F,F,08/06/2016,01:06:32,.287528300
