Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,500
Base Time Seconds,1470793993
Base Time Fractional,.150267460
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.082031957367e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0218963623047,Volt DC,100,T,2W,F,F,08/10/2016,01:53:13,.150267460
2,5.897303978486e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0418586730957,Volt DC,100,T,2W,F,F,08/10/2016,01:53:13,.221416860
3,2.03780281538e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0619850158691,Volt DC,100,T,2W,F,F,08/10/2016,01:53:13,.547714720
4,7.791955525249e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0820465087891,Volt DC,100,T,2W,F,F,08/10/2016,01:53:13,.618765560
5,2.529013443109e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1022644042969,Volt DC,100,T,2W,F,F,08/10/2016,01:53:13,.947730340
6,5.195571972649e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1213722229004,Volt DC,100,T,2W,F,F,08/10/2016,01:53:14,.018796860
7,2.950049982076e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1412811279297,Volt DC,100,T,2W,F,F,08/10/2016,01:53:14,.347740740
8,7.932301926417e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1613159179688,Volt DC,100,T,2W,F,F,08/10/2016,01:53:14,.418792780
9,6.669198526765e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1811714172363,Volt DC,100,T,2W,F,F,08/10/2016,01:53:14,.747769560
10,3.300914208637e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2012939453125,Volt DC,100,T,2W,F,F,08/10/2016,01:53:14,.818817600
11,4.353499782894e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2211227416992,Volt DC,100,T,2W,F,F,08/10/2016,01:53:15,.147772940
12,4.142982845678e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2410583496094,Volt DC,100,T,2W,F,F,08/10/2016,01:53:15,.218832420
13,5.125397883887e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2611656188965,Volt DC,100,T,2W,F,F,08/10/2016,01:53:15,.547770160
14,8.844546428577e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2810325622559,Volt DC,100,T,2W,F,F,08/10/2016,01:53:15,.618814800
15,4.844711298801e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3010520935059,Volt DC,100,T,2W,F,F,08/10/2016,01:53:15,.947811560
16,3.65177754702e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3211669921875,Volt DC,100,T,2W,F,F,08/10/2016,01:53:16,.018854980
17,7.932301926417e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3411026000977,Volt DC,100,T,2W,F,F,08/10/2016,01:53:16,.347796440
18,-4.884066484578e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3611068725586,Volt DC,100,T,2W,F,F,08/10/2016,01:53:16,.418868680
19,1.125562754112e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3810348510742,Volt DC,100,T,2W,F,F,08/10/2016,01:53:16,.747819600
20,3.511428481318e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4010772705078,Volt DC,100,T,2W,F,F,08/10/2016,01:53:16,.818874160
21,3.020223182659e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4212226867676,Volt DC,100,T,2W,F,F,08/10/2016,01:53:17,.147845920
22,7.721784101022e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4409446716309,Volt DC,100,T,2W,F,F,08/10/2016,01:53:17,.218885600
23,-8.392673223057e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4609069824219,Volt DC,100,T,2W,F,F,08/10/2016,01:53:17,.547839520
24,6.45868158955e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4809570312500,Volt DC,100,T,2W,F,F,08/10/2016,01:53:17,.618904120
25,1.967635832045e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5010147094727,Volt DC,100,T,2W,F,F,08/10/2016,01:53:17,.947873180
26,4.774549644537e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5210075378418,Volt DC,100,T,2W,F,F,08/10/2016,01:53:18,.018925560
27,5.897298649415e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5412559509277,Volt DC,100,T,2W,F,F,08/10/2016,01:53:18,.347891680
28,2.133164755946e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5612182617188,Volt DC,100,T,2W,F,F,08/10/2016,01:53:18,.418940360
29,3.441257945269e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5812301635742,Volt DC,100,T,2W,F,F,08/10/2016,01:53:18,.747889100
30,-3.48065576361e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6011161804199,Volt DC,100,T,2W,F,F,08/10/2016,01:53:18,.818963740
31,3.721950747604e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6210517883301,Volt DC,100,T,2W,F,F,08/10/2016,01:53:19,.147893220
32,6.248161987799e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6409721374512,Volt DC,100,T,2W,F,F,08/10/2016,01:53:19,.218947640
33,1.125568083182e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6609649658203,Volt DC,100,T,2W,F,F,08/10/2016,01:53:19,.557914020
34,3.932473902069e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6809387207031,Volt DC,100,T,2W,F,F,08/10/2016,01:53:19,.628980420
