Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,500
Base Time Seconds,1470795865
Base Time Fractional,.502502740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.050458848795e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0220909118652,Volt DC,100,T,2W,F,F,08/10/2016,02:24:25,.502502740
2,8.423492126042e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0421028137207,Volt DC,100,T,2W,F,F,08/10/2016,02:24:25,.573794620
3,4.704335587746e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0620880126953,Volt DC,100,T,2W,F,F,08/10/2016,02:24:25,.900061980
4,4.844681988914e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0820999145508,Volt DC,100,T,2W,F,F,08/10/2016,02:24:25,.971312280
5,5.96744342829e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1023178100586,Volt DC,100,T,2W,F,F,08/10/2016,02:24:26,.299851400
6,3.020191208236e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1213951110840,Volt DC,100,T,2W,F,F,08/10/2016,02:24:26,.371055460
7,6.037619293409e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1412963867188,Volt DC,100,T,2W,F,F,08/10/2016,02:24:26,.699863240
8,5.476234576918e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1613998413086,Volt DC,100,T,2W,F,F,08/10/2016,02:24:26,.771089900
9,3.932434822218e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1813545227051,Volt DC,100,T,2W,F,F,08/10/2016,02:24:27,.100020180
10,4.704336475925e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2013015747070,Volt DC,100,T,2W,F,F,08/10/2016,02:24:27,.171190000
11,4.704333811389e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2211265563965,Volt DC,100,T,2W,F,F,08/10/2016,02:24:27,.500103020
12,2.879844807069e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2411346435547,Volt DC,100,T,2W,F,F,08/10/2016,02:24:27,.571295840
13,3.300881346036e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2612304687500,Volt DC,100,T,2W,F,F,08/10/2016,02:24:27,.900108900
14,4.353472249363e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2811126708984,Volt DC,100,T,2W,F,F,08/10/2016,02:24:27,.971248320
15,5.616582754442e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3011474609375,Volt DC,100,T,2W,F,F,08/10/2016,02:24:28,.299944740
16,4.353473137542e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3212471008301,Volt DC,100,T,2W,F,F,08/10/2016,02:24:28,.371111400
17,3.300879569679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3411407470703,Volt DC,100,T,2W,F,F,08/10/2016,02:24:28,.710137260
18,5.406060488156e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3611335754395,Volt DC,100,T,2W,F,F,08/10/2016,02:24:28,.781333560
19,1.055354026391e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3809890747070,Volt DC,100,T,2W,F,F,08/10/2016,02:24:29,.110123340
20,3.862261621634e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4010925292969,Volt DC,100,T,2W,F,F,08/10/2016,02:24:29,.181362720
21,5.756930043788e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4212379455566,Volt DC,100,T,2W,F,F,08/10/2016,02:24:29,.510151140
