Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,500
Base Time Seconds,1470795026
Base Time Fractional,.274758580
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.102385311924e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0220832824707,Volt DC,100,T,2W,F,F,08/10/2016,02:10:26,.274758580
2,3.300892892355e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0420570373535,Volt DC,100,T,2W,F,F,08/10/2016,02:10:26,.345883260
3,9.055058924901e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0620574951172,Volt DC,100,T,2W,F,F,08/10/2016,02:10:26,.672219100
4,4.914872064887e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0821266174316,Volt DC,100,T,2W,F,F,08/10/2016,02:10:26,.743280540
5,3.792103520084e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1023254394531,Volt DC,100,T,2W,F,F,08/10/2016,02:10:27,.072235180
6,4.84469531159e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1214370727539,Volt DC,100,T,2W,F,F,08/10/2016,02:10:27,.143280660
7,1.125544102365e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1413764953613,Volt DC,100,T,2W,F,F,08/10/2016,02:10:27,.472244020
8,4.002626674549e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1614265441895,Volt DC,100,T,2W,F,F,08/10/2016,02:10:27,.543282680
9,1.336060151402e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1813430786133,Volt DC,100,T,2W,F,F,08/10/2016,02:10:27,.872267580
10,4.283312371456e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2013816833496,Volt DC,100,T,2W,F,F,08/10/2016,02:10:27,.943411740
11,3.441236628987e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2212257385254,Volt DC,100,T,2W,F,F,08/10/2016,02:10:28,.272275640
12,3.862274944311e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2411804199219,Volt DC,100,T,2W,F,F,08/10/2016,02:10:28,.343443440
13,8.002464468859e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2612686157227,Volt DC,100,T,2W,F,F,08/10/2016,02:10:28,.682282040
14,3.511411605928e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2811813354492,Volt DC,100,T,2W,F,F,08/10/2016,02:10:28,.753493960
15,2.528996567719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3012886047363,Volt DC,100,T,2W,F,F,08/10/2016,02:10:29,.082323360
16,5.406073810832e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3213539123535,Volt DC,100,T,2W,F,F,08/10/2016,02:10:29,.153489340
