Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,500
Base Time Seconds,1470792217
Base Time Fractional,.332301360
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.135362026616e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0219497680664,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.332301360
2,5.476276321303e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0419960021973,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.402891700
3,2.458865111521e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0619430541992,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.473488180
4,4.985072799002e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0820198059082,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.544081500
5,6.388519935285e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1022834777832,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.614666020
6,3.300931084027e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1213340759277,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.685272900
7,2.178172309186e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1413040161133,Volt DC,100,T,2W,F,F,08/10/2016,01:23:37,.756338820
8,2.739550808428e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1612815856934,Volt DC,100,T,2W,F,F,08/10/2016,01:23:38,.029651300
9,4.283343457701e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1813049316406,Volt DC,100,T,2W,F,F,08/10/2016,01:23:38,.100272280
10,4.704379108489e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2012748718262,Volt DC,100,T,2W,F,F,08/10/2016,01:23:38,.170953280
11,4.283343457701e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2210731506348,Volt DC,100,T,2W,F,F,08/10/2016,01:23:38,.241543760
12,1.616788480874e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2410964965820,Volt DC,100,T,2W,F,F,08/10/2016,01:23:38,.312150560
