Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,441
Base Time Seconds,1470451825
Base Time Fractional,.738415080
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.05580578142e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0006446838379,Volt DC,100,T,2W,F,F,08/06/2016,02:50:25,.738415080
2,1.579144703889e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9127883911133,Volt DC,100,T,2W,F,F,08/06/2016,02:50:26,.339291620
3,2.152718225901e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9412765502930,Volt DC,100,T,2W,F,F,08/06/2016,02:50:27,.473188920
4,1.995126064358e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9659385681152,Volt DC,100,T,2W,F,F,08/06/2016,02:50:28,.607040060
5,2.36100472506e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9915695190430,Volt DC,100,T,2W,F,F,08/06/2016,02:50:29,.740903380
6,1.997854548463e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0150260925293,Volt DC,100,T,2W,F,F,08/06/2016,02:50:30,.874764200
7,1.512008296345e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0435752868652,Volt DC,100,T,2W,F,F,08/06/2016,02:50:32,.008634700
8,1.540657046384e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0675773620605,Volt DC,100,T,2W,F,F,08/06/2016,02:50:33,.142479400
9,1.722591069786e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0931205749512,Volt DC,100,T,2W,F,F,08/06/2016,02:50:34,.276340360
10,1.678800876093e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1166343688965,Volt DC,100,T,2W,F,F,08/06/2016,02:50:35,.410186000
11,1.663231774529e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1436386108398,Volt DC,100,T,2W,F,F,08/06/2016,02:50:36,.544085620
12,1.657804005184e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1657447814941,Volt DC,100,T,2W,F,F,08/06/2016,02:50:37,.677951640
13,1.673946314895e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1937446594238,Volt DC,100,T,2W,F,F,08/06/2016,02:50:38,.811812260
14,1.619757328264e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2204170227051,Volt DC,100,T,2W,F,F,08/06/2016,02:50:39,.945677600
15,1.439015795413e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2463989257813,Volt DC,100,T,2W,F,F,08/06/2016,02:50:41,.079526020
16,1.511438973978e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3762702941895,Volt DC,100,T,2W,F,F,08/06/2016,02:50:42,.040536700
17,1.699263368904e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2973098754883,Volt DC,100,T,2W,F,F,08/06/2016,02:50:42,.657134520
18,1.467925558885e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4260330200195,Volt DC,100,T,2W,F,F,08/06/2016,02:50:43,.618145100
19,1.766485291377e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3445625305176,Volt DC,100,T,2W,F,F,08/06/2016,02:50:44,.234732680
20,1.677618044482e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4762001037598,Volt DC,100,T,2W,F,F,08/06/2016,02:50:45,.195776380
21,-5.79182812821e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3968772888184,Volt DC,100,T,2W,F,F,08/06/2016,02:50:45,.812402360
22,1.34857480738e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5264244079590,Volt DC,100,T,2W,F,F,08/06/2016,02:50:46,.773417800
23,1.424401263606e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4454383850098,Volt DC,100,T,2W,F,F,08/06/2016,02:50:47,.390021900
24,1.391802673112e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4721755981445,Volt DC,100,T,2W,F,F,08/06/2016,02:50:48,.523848120
25,1.400843441246e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4954872131348,Volt DC,100,T,2W,F,F,08/06/2016,02:50:49,.657667860
26,1.466879284706e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5223350524902,Volt DC,100,T,2W,F,F,08/06/2016,02:50:50,.791512780
27,1.431820884079e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5455207824707,Volt DC,100,T,2W,F,F,08/06/2016,02:50:51,.925389040
28,1.313018804794e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5727386474609,Volt DC,100,T,2W,F,F,08/06/2016,02:50:53,.059218240
29,1.532942217608e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5972175598145,Volt DC,100,T,2W,F,F,08/06/2016,02:50:54,.193059400
