Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,441
Base Time Seconds,1470453786
Base Time Fractional,.631195640
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.178576197475e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0007095336914,Volt DC,100,T,2W,F,F,08/06/2016,03:23:06,.631195640
2,2.021350642423e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.8980979919434,Volt DC,100,T,2W,F,F,08/06/2016,03:23:07,.232051760
3,1.368788749012e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0508384704590,Volt DC,100,T,2W,F,F,08/06/2016,03:23:08,.193114080
4,7.483952346732e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9544410705566,Volt DC,100,T,2W,F,F,08/06/2016,03:23:08,.809719880
5,4.796316122047e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9834823608398,Volt DC,100,T,2W,F,F,08/06/2016,03:23:09,.943604880
6,5.55724299911e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0050048828125,Volt DC,100,T,2W,F,F,08/06/2016,03:23:11,.077484800
7,7.123547862697e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0313148498535,Volt DC,100,T,2W,F,F,08/06/2016,03:23:12,.211352540
8,6.891064385783e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0546264648438,Volt DC,100,T,2W,F,F,08/06/2016,03:23:13,.345221820
9,6.616429071293e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0810432434082,Volt DC,100,T,2W,F,F,08/06/2016,03:23:14,.479105880
10,2.591050429768e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1041374206543,Volt DC,100,T,2W,F,F,08/06/2016,03:23:15,.612961080
11,6.488374282299e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1313285827637,Volt DC,100,T,2W,F,F,08/06/2016,03:23:16,.746825660
12,6.572949962091e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1541137695313,Volt DC,100,T,2W,F,F,08/06/2016,03:23:17,.880670320
13,5.844359440843e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1818122863770,Volt DC,100,T,2W,F,F,08/06/2016,03:23:19,.014541820
14,5.788815538033e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2081680297852,Volt DC,100,T,2W,F,F,08/06/2016,03:23:20,.148399660
15,6.512426153904e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2313423156738,Volt DC,100,T,2W,F,F,08/06/2016,03:23:21,.282273660
16,6.380580508392e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2580680847168,Volt DC,100,T,2W,F,F,08/06/2016,03:23:22,.416134480
17,6.411298159037e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2814064025879,Volt DC,100,T,2W,F,F,08/06/2016,03:23:23,.549999400
18,8.902071857442e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3073272705078,Volt DC,100,T,2W,F,F,08/06/2016,03:23:24,.683881020
19,8.467909151655e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4496345520020,Volt DC,100,T,2W,F,F,08/06/2016,03:23:25,.644885960
20,-2.052354952653e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3669242858887,Volt DC,100,T,2W,F,F,08/06/2016,03:23:26,.261505240
21,5.23763143967e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4995498657227,Volt DC,100,T,2W,F,F,08/06/2016,03:23:27,.222536740
22,1.240301195082e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4067611694336,Volt DC,100,T,2W,F,F,08/06/2016,03:23:27,.839138880
23,9.531812006358e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5498809814453,Volt DC,100,T,2W,F,F,08/06/2016,03:23:28,.800183080
24,-2.270471144428e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4660949707031,Volt DC,100,T,2W,F,F,08/06/2016,03:23:29,.416801040
25,2.484911165723e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5996437072754,Volt DC,100,T,2W,F,F,08/06/2016,03:23:30,.377829080
26,2.946544952476e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5092430114746,Volt DC,100,T,2W,F,F,08/06/2016,03:23:30,.994423840
27,4.062469527444e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5323829650879,Volt DC,100,T,2W,F,F,08/06/2016,03:23:32,.128301240
28,6.351678072392e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6761970520020,Volt DC,100,T,2W,F,F,08/06/2016,03:23:33,.089338440
29,1.150764705748e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5797882080078,Volt DC,100,T,2W,F,F,08/06/2016,03:23:33,.705950420
30,7.112381794627e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7261276245117,Volt DC,100,T,2W,F,F,08/06/2016,03:23:34,.667004740
31,-2.60990606904e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6398658752441,Volt DC,100,T,2W,F,F,08/06/2016,03:23:35,.283606400
32,4.5772238777e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7761077880859,Volt DC,100,T,2W,F,F,08/06/2016,03:23:36,.244624340
33,1.047188669112e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6795005798340,Volt DC,100,T,2W,F,F,08/06/2016,03:23:36,.861200780
34,8.263458251001e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8260002136230,Volt DC,100,T,2W,F,F,08/06/2016,03:23:37,.822226320
