Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,441
Base Time Seconds,1470447037
Base Time Fractional,.080291320
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.311772900361e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,47.8976631164551,Volt DC,100,T,2W,F,F,08/06/2016,01:30:37,.080291320
2,3.171140008362e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0241355895996,Volt DC,100,T,2W,F,F,08/06/2016,01:30:37,.458404700
3,3.117348796877e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9605445861816,Volt DC,100,T,2W,F,F,08/06/2016,01:30:37,.682774740
4,3.064700706545e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0740242004395,Volt DC,100,T,2W,F,F,08/06/2016,01:30:38,.060840480
5,3.014956178049e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.1008491516113,Volt DC,100,T,2W,F,F,08/06/2016,01:30:38,.575143360
6,2.915437562478e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0514602661133,Volt DC,100,T,2W,F,F,08/06/2016,01:30:38,.799471320
7,2.83572404669e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.1500282287598,Volt DC,100,T,2W,F,F,08/06/2016,01:30:39,.177571700
8,2.730542405516e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.1731605529785,Volt DC,100,T,2W,F,F,08/06/2016,01:30:39,.691835820
9,2.673959045296e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1497306823730,Volt DC,100,T,2W,F,F,08/06/2016,01:30:39,.916181200
10,2.591913812466e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.2231903076172,Volt DC,100,T,2W,F,F,08/06/2016,01:30:40,.294276840
11,2.486540324753e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.2498741149902,Volt DC,100,T,2W,F,F,08/06/2016,01:30:40,.808568760
12,2.450180716096e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2372322082520,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.032932240
13,2.393116176336e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.2997436523438,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.410993980
14,2.368189768731e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2948989868164,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.635346260
15,2.366802931419e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3189888000488,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.722497020
16,2.346993142055e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3462448120117,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.809607000
17,2.331651813847e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3702278137207,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.896734140
18,2.323133685422e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3978004455566,Volt DC,100,T,2W,F,F,08/06/2016,01:30:41,.983845440
19,2.248398089932e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.4497604370117,Volt DC,100,T,2W,F,F,08/06/2016,01:30:42,.361949280
20,2.160802665685e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.4764823913574,Volt DC,100,T,2W,F,F,08/06/2016,01:30:42,.876250800
21,2.141312052117e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4785423278809,Volt DC,100,T,2W,F,F,08/06/2016,01:30:43,.100609560
22,2.10178427551e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.5264968872070,Volt DC,100,T,2W,F,F,08/06/2016,01:30:43,.478668600
23,2.091373545454e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5303688049316,Volt DC,100,T,2W,F,F,08/06/2016,01:30:43,.703019880
24,2.103113416752e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5570716857910,Volt DC,100,T,2W,F,F,08/06/2016,01:30:43,.790148740
25,2.091099560175e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5804100036621,Volt DC,100,T,2W,F,F,08/06/2016,01:30:43,.877276800
26,2.093274957815e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6077995300293,Volt DC,100,T,2W,F,F,08/06/2016,01:30:43,.964423400
27,2.092099293804e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6300468444824,Volt DC,100,T,2W,F,F,08/06/2016,01:30:44,.051564700
28,2.063696911137e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.6763381958008,Volt DC,100,T,2W,F,F,08/06/2016,01:30:44,.429639460
29,2.042375371047e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.6995277404785,Volt DC,100,T,2W,F,F,08/06/2016,01:30:44,.943918680
30,2.009033437389e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7103004455566,Volt DC,100,T,2W,F,F,08/06/2016,01:30:45,.168236680
31,2.016536768679e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.7496147155762,Volt DC,100,T,2W,F,F,08/06/2016,01:30:45,.546318800
32,2.004407804179e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7594642639160,Volt DC,100,T,2W,F,F,08/06/2016,01:30:45,.770684100
33,2.00679636464e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7830009460449,Volt DC,100,T,2W,F,F,08/06/2016,01:30:45,.857829720
34,1.996633187673e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8088188171387,Volt DC,100,T,2W,F,F,08/06/2016,01:30:45,.944930940
35,2.008878254856e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8328132629395,Volt DC,100,T,2W,F,F,08/06/2016,01:30:46,.032049380
36,2.009622619425e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8593254089355,Volt DC,100,T,2W,F,F,08/06/2016,01:30:46,.119166680
37,1.991732858642e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.8994064331055,Volt DC,100,T,2W,F,F,08/06/2016,01:30:46,.497228360
38,1.923833963247e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.9259834289551,Volt DC,100,T,2W,F,F,08/06/2016,01:30:47,.011497820
39,1.90932397004e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9359550476074,Volt DC,100,T,2W,F,F,08/06/2016,01:30:47,.235835160
40,1.889358856033e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.9754447937012,Volt DC,100,T,2W,F,F,08/06/2016,01:30:47,.613923060
41,1.871527075537e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9856491088867,Volt DC,100,T,2W,F,F,08/06/2016,01:30:47,.838260040
42,1.873020920584e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0120697021484,Volt DC,100,T,2W,F,F,08/06/2016,01:30:47,.925399360
43,1.859535814219e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0360450744629,Volt DC,100,T,2W,F,F,08/06/2016,01:30:48,.012513620
44,1.852231577004e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0625877380371,Volt DC,100,T,2W,F,F,08/06/2016,01:30:48,.099647460
45,1.833223564063e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0864295959473,Volt DC,100,T,2W,F,F,08/06/2016,01:30:48,.186765480
46,1.796824307121e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.1250190734863,Volt DC,100,T,2W,F,F,08/06/2016,01:30:48,.564853820
47,1.750438087811e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.1485328674316,Volt DC,100,T,2W,F,F,08/06/2016,01:30:49,.079125440
48,1.71804714455e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1656455993652,Volt DC,100,T,2W,F,F,08/06/2016,01:30:49,.303467440
49,1.677875758332e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.1984176635742,Volt DC,100,T,2W,F,F,08/06/2016,01:30:49,.681548540
50,1.649887479971e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2166824340820,Volt DC,100,T,2W,F,F,08/06/2016,01:30:49,.905920400
51,1.650689824828e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2400436401367,Volt DC,100,T,2W,F,F,08/06/2016,01:30:49,.993062380
52,1.642381732836e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2672615051270,Volt DC,100,T,2W,F,F,08/06/2016,01:30:50,.080192000
