Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,381
Base Time Seconds,1470464819
Base Time Fractional,.696447280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,6.730038535352e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2562866210938,Volt DC,100,T,2W,F,F,08/06/2016,06:26:59,.696447280
2,6.031309567334e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.5249099731445,Volt DC,100,T,2W,F,F,08/06/2016,06:27:00,.074543000
3,5.605743922388e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.5517692565918,Volt DC,100,T,2W,F,F,08/06/2016,06:27:00,.588863580
4,5.571916403824e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4115447998047,Volt DC,100,T,2W,F,F,08/06/2016,06:27:00,.813188300
5,5.633042405861e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.6019172668457,Volt DC,100,T,2W,F,F,08/06/2016,06:27:01,.191274300
6,5.565927949647e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.6251411437988,Volt DC,100,T,2W,F,F,08/06/2016,06:27:01,.705511540
7,5.357130703487e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5178184509277,Volt DC,100,T,2W,F,F,08/06/2016,06:27:01,.929829340
8,5.200830628382e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.6752204895020,Volt DC,100,T,2W,F,F,08/06/2016,06:27:02,.307921940
9,5.359123633752e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.7018775939941,Volt DC,100,T,2W,F,F,08/06/2016,06:27:02,.822242700
10,5.493450316862e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5933341979980,Volt DC,100,T,2W,F,F,08/06/2016,06:27:03,.046556760
11,5.216628551352e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.7515907287598,Volt DC,100,T,2W,F,F,08/06/2016,06:27:03,.424648720
12,5.592240768237e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.7749824523926,Volt DC,100,T,2W,F,F,08/06/2016,06:27:03,.938959220
13,5.13197392138e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6907806396484,Volt DC,100,T,2W,F,F,08/06/2016,06:27:04,.163278880
14,5.034920604885e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.8242492675781,Volt DC,100,T,2W,F,F,08/06/2016,06:27:04,.541375960
15,4.952365202371e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.8509407043457,Volt DC,100,T,2W,F,F,08/06/2016,06:27:05,.055654280
16,5.091310413263e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7750663757324,Volt DC,100,T,2W,F,F,08/06/2016,06:27:05,.279988580
17,4.764464165419e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.9009742736816,Volt DC,100,T,2W,F,F,08/06/2016,06:27:05,.658058200
18,4.768279211476e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.9240531921387,Volt DC,100,T,2W,F,F,08/06/2016,06:27:06,.172320240
19,4.765427092934e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.8736648559570,Volt DC,100,T,2W,F,F,08/06/2016,06:27:06,.396640020
20,4.585986630445e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,49.9740715026855,Volt DC,100,T,2W,F,F,08/06/2016,06:27:06,.774715280
21,4.455986584162e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.0007171630859,Volt DC,100,T,2W,F,F,08/06/2016,06:27:07,.289020200
22,4.361016578969e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.9605827331543,Volt DC,100,T,2W,F,F,08/06/2016,06:27:07,.513349820
23,4.699365945271e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.0506515502930,Volt DC,100,T,2W,F,F,08/06/2016,06:27:07,.891454260
24,4.554084966912e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.0102272033691,Volt DC,100,T,2W,F,F,08/06/2016,06:27:08,.115771280
25,4.170737781806e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.1007118225098,Volt DC,100,T,2W,F,F,08/06/2016,06:27:08,.493885520
26,4.092347012374e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.1241493225098,Volt DC,100,T,2W,F,F,08/06/2016,06:27:09,.008172280
27,4.080702922238e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.0995635986328,Volt DC,100,T,2W,F,F,08/06/2016,06:27:09,.232513140
28,3.964064774209e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.1738700866699,Volt DC,100,T,2W,F,F,08/06/2016,06:27:09,.610570380
29,4.2126828248e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.2006797790527,Volt DC,100,T,2W,F,F,08/06/2016,06:27:10,.124852200
30,3.96457039642e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.1810607910156,Volt DC,100,T,2W,F,F,08/06/2016,06:27:10,.349214680
31,3.888364119575e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.2508850097656,Volt DC,100,T,2W,F,F,08/06/2016,06:27:10,.727297280
32,3.710820237757e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.2742919921875,Volt DC,100,T,2W,F,F,08/06/2016,06:27:11,.241594340
33,3.657938520973e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.2693099975586,Volt DC,100,T,2W,F,F,08/06/2016,06:27:11,.465916640
34,3.668691022085e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.3240242004395,Volt DC,100,T,2W,F,F,08/06/2016,06:27:11,.844001840
35,3.573810261059e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.3505973815918,Volt DC,100,T,2W,F,F,08/06/2016,06:27:12,.358266680
36,3.717971424066e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.3411865234375,Volt DC,100,T,2W,F,F,08/06/2016,06:27:12,.582601240
37,3.51004445065e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.4006233215332,Volt DC,100,T,2W,F,F,08/06/2016,06:27:12,.960666380
38,3.444432365995e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.4239807128906,Volt DC,100,T,2W,F,F,08/06/2016,06:27:13,.474940200
39,3.63012645721e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.4253807067871,Volt DC,100,T,2W,F,F,08/06/2016,06:27:13,.699273300
40,3.39490981105e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.4740905761719,Volt DC,100,T,2W,F,F,08/06/2016,06:27:14,.077362620
41,3.36334920803e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.5008239746094,Volt DC,100,T,2W,F,F,08/06/2016,06:27:14,.591632640
42,3.325075397242e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5076599121094,Volt DC,100,T,2W,F,F,08/06/2016,06:27:14,.815958120
43,3.311570822007e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.5507278442383,Volt DC,100,T,2W,F,F,08/06/2016,06:27:15,.194029580
44,3.620832842444e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.5771522521973,Volt DC,100,T,2W,F,F,08/06/2016,06:27:15,.708335320
45,3.394751786345e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5816307067871,Volt DC,100,T,2W,F,F,08/06/2016,06:27:15,.932653440
46,3.388442451069e-07,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,50.6272506713867,Volt DC,100,T,2W,F,F,08/06/2016,06:27:16,.310774200
