Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,441
Base Time Seconds,1470441131
Base Time Fractional,.161175780
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.06484024704e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0006637573242,Volt DC,100,T,2W,F,F,08/05/2016,23:52:11,.161175780
2,-9.709020254434e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9048614501953,Volt DC,100,T,2W,F,F,08/05/2016,23:52:11,.762026220
3,1.435986773934e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0508193969727,Volt DC,100,T,2W,F,F,08/05/2016,23:52:12,.723064620
4,5.765742328023e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9563331604004,Volt DC,100,T,2W,F,F,08/05/2016,23:52:13,.339684960
5,1.266256766108e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1007347106934,Volt DC,100,T,2W,F,F,08/05/2016,23:52:14,.300713100
6,1.544430361378e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0039329528809,Volt DC,100,T,2W,F,F,08/05/2016,23:52:14,.917297320
7,9.555729540978e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1498680114746,Volt DC,100,T,2W,F,F,08/05/2016,23:52:15,.878338700
8,-1.867152432666e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0613479614258,Volt DC,100,T,2W,F,F,08/05/2016,23:52:16,.494944420
9,7.730350248814e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1998100280762,Volt DC,100,T,2W,F,F,08/05/2016,23:52:17,.456003560
10,1.061137511194e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1041755676270,Volt DC,100,T,2W,F,F,08/05/2016,23:52:18,.072604060
11,8.538442175521e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1325454711914,Volt DC,100,T,2W,F,F,08/05/2016,23:52:19,.206469260
12,1.236399316262e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2728652954102,Volt DC,100,T,2W,F,F,08/05/2016,23:52:20,.167455840
13,1.292695173127e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1825752258301,Volt DC,100,T,2W,F,F,08/05/2016,23:52:20,.784063020
14,8.895319481006e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3263206481934,Volt DC,100,T,2W,F,F,08/05/2016,23:52:21,.745094540
15,-2.077294558589e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2401428222656,Volt DC,100,T,2W,F,F,08/05/2016,23:52:22,.361687860
16,1.000010962926e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3761940002441,Volt DC,100,T,2W,F,F,08/05/2016,23:52:23,.322736320
17,8.869038281567e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2835464477539,Volt DC,100,T,2W,F,F,08/05/2016,23:52:23,.939337760
18,7.543982105673e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3091583251953,Volt DC,100,T,2W,F,F,08/05/2016,23:52:25,.073207740
19,7.08074932021e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4496841430664,Volt DC,100,T,2W,F,F,08/05/2016,23:52:26,.034202180
20,1.35662059364e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3617668151855,Volt DC,100,T,2W,F,F,08/05/2016,23:52:26,.650834260
21,6.940332752947e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4994659423828,Volt DC,100,T,2W,F,F,08/05/2016,23:52:27,.611905540
22,-2.243884411612e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4154930114746,Volt DC,100,T,2W,F,F,08/05/2016,23:52:28,.228529080
23,5.771507161079e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5498161315918,Volt DC,100,T,2W,F,F,08/05/2016,23:52:29,.189545420
24,8.719310828909e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4610481262207,Volt DC,100,T,2W,F,F,08/05/2016,23:52:29,.806158580
25,6.481219450016e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4849472045898,Volt DC,100,T,2W,F,F,08/05/2016,23:52:30,.940043640
26,7.076116359528e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6262779235840,Volt DC,100,T,2W,F,F,08/05/2016,23:52:31,.901050000
27,1.368830271353e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5387916564941,Volt DC,100,T,2W,F,F,08/05/2016,23:52:32,.517692800
28,8.599064793557e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6762046813965,Volt DC,100,T,2W,F,F,08/05/2016,23:52:33,.478752980
29,-2.288713885079e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5898094177246,Volt DC,100,T,2W,F,F,08/05/2016,23:52:34,.095373200
30,4.397461839112e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7259864807129,Volt DC,100,T,2W,F,F,08/05/2016,23:52:35,.056400740
31,7.084136055546e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6347503662109,Volt DC,100,T,2W,F,F,08/05/2016,23:52:35,.672998880
32,6.209739389362e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6615676879883,Volt DC,100,T,2W,F,F,08/05/2016,23:52:36,.806879380
