Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,421
Base Time Seconds,1470372100
Base Time Fractional,.370531720
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.111715149222e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0001106262207,Volt DC,100,T,2W,F,F,08/05/2016,04:41:40,.370531720
2,1.234913393766e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9674568176270,Volt DC,100,T,2W,F,F,08/05/2016,04:41:40,.971379920
3,9.951494073235e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0502510070801,Volt DC,100,T,2W,F,F,08/05/2016,04:41:41,.932437200
4,8.420190655833e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0192184448242,Volt DC,100,T,2W,F,F,08/05/2016,04:41:42,.549045460
5,6.259862628255e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1001815795898,Volt DC,100,T,2W,F,F,08/05/2016,04:41:43,.510093760
6,5.975703265548e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0695266723633,Volt DC,100,T,2W,F,F,08/05/2016,04:41:44,.126710980
7,3.03113228961e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1493949890137,Volt DC,100,T,2W,F,F,08/05/2016,04:41:45,.087756280
8,5.648684853199e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1197624206543,Volt DC,100,T,2W,F,F,08/05/2016,04:41:45,.704326680
9,5.628981170069e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1465110778809,Volt DC,100,T,2W,F,F,08/05/2016,04:41:46,.838213700
10,3.827453631811e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1702690124512,Volt DC,100,T,2W,F,F,08/05/2016,04:41:47,.972075980
11,5.294714111592e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2490386962891,Volt DC,100,T,2W,F,F,08/05/2016,04:41:48,.933074020
12,4.441170209368e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2196998596191,Volt DC,100,T,2W,F,F,08/05/2016,04:41:49,.549688500
13,6.349356596047e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2989158630371,Volt DC,100,T,2W,F,F,08/05/2016,04:41:50,.510712180
14,4.709492240629e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2733268737793,Volt DC,100,T,2W,F,F,08/05/2016,04:41:51,.127355300
15,5.306868278154e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2964057922363,Volt DC,100,T,2W,F,F,08/05/2016,04:41:52,.261216700
16,5.179717765813e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3251495361328,Volt DC,100,T,2W,F,F,08/05/2016,04:41:53,.395076020
17,4.611164783341e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3989715576172,Volt DC,100,T,2W,F,F,08/05/2016,04:41:54,.356069540
18,4.233514094842e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3731880187988,Volt DC,100,T,2W,F,F,08/05/2016,04:41:54,.972694160
19,3.03421537895e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4488639831543,Volt DC,100,T,2W,F,F,08/05/2016,04:41:55,.933696400
20,3.5288380551e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4232101440430,Volt DC,100,T,2W,F,F,08/05/2016,04:41:56,.550288980
21,8.13973610736e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4455642700195,Volt DC,100,T,2W,F,F,08/05/2016,04:41:57,.684160460
22,4.626879157588e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4735946655273,Volt DC,100,T,2W,F,F,08/05/2016,04:41:58,.818026820
23,6.451192913204e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5491218566895,Volt DC,100,T,2W,F,F,08/05/2016,04:41:59,.779063880
24,3.744491106072e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5226974487305,Volt DC,100,T,2W,F,F,08/05/2016,04:42:00,.395666500
25,5.007714798388e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5988807678223,Volt DC,100,T,2W,F,F,08/05/2016,04:42:01,.356706300
26,3.604369303023e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5734519958496,Volt DC,100,T,2W,F,F,08/05/2016,04:42:01,.973287040
27,4.01919525439e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5969085693359,Volt DC,100,T,2W,F,F,08/05/2016,04:42:03,.107137380
28,4.767422567831e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6234397888184,Volt DC,100,T,2W,F,F,08/05/2016,04:42:04,.241008180
29,5.528343893779e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6464195251465,Volt DC,100,T,2W,F,F,08/05/2016,04:42:05,.374849860
30,5.108782286101e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7254524230957,Volt DC,100,T,2W,F,F,08/05/2016,04:42:06,.335870260
31,9.709526932467e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6970291137695,Volt DC,100,T,2W,F,F,08/05/2016,04:42:06,.952461980
32,3.777943791139e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7754402160645,Volt DC,100,T,2W,F,F,08/05/2016,04:42:07,.913500640
33,3.748909238599e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7464523315430,Volt DC,100,T,2W,F,F,08/05/2016,04:42:08,.530123900
34,3.76181363837e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7714500427246,Volt DC,100,T,2W,F,F,08/05/2016,04:42:09,.663977440
35,3.843798057623e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7963600158691,Volt DC,100,T,2W,F,F,08/05/2016,04:42:10,.797854480
36,5.163873217917e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8250389099121,Volt DC,100,T,2W,F,F,08/05/2016,04:42:11,.931748720
37,5.857138662968e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8987312316895,Volt DC,100,T,2W,F,F,08/05/2016,04:42:12,.892784840
38,3.808029724883e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8728866577148,Volt DC,100,T,2W,F,F,08/05/2016,04:42:13,.509353020
39,5.068664377106e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9489212036133,Volt DC,100,T,2W,F,F,08/05/2016,04:42:14,.470386280
