Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,441
Base Time Seconds,1470440581
Base Time Fractional,.904812360
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.483032696648e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9199905395508,Volt DC,100,T,2W,F,F,08/05/2016,23:43:01,.904812360
2,1.620454326279e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0240745544434,Volt DC,100,T,2W,F,F,08/05/2016,23:43:02,.865855880
3,1.446233799385e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9724655151367,Volt DC,100,T,2W,F,F,08/05/2016,23:43:03,.482485040
4,1.300677565652e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9966583251953,Volt DC,100,T,2W,F,F,08/05/2016,23:43:04,.616359780
5,1.270422322897e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0240936279297,Volt DC,100,T,2W,F,F,08/05/2016,23:43:05,.750240020
6,1.236276414573e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0467567443848,Volt DC,100,T,2W,F,F,08/05/2016,23:43:06,.884065120
7,1.17381726561e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0733909606934,Volt DC,100,T,2W,F,F,08/05/2016,23:43:08,.017954680
8,1.180697761782e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1731033325195,Volt DC,100,T,2W,F,F,08/05/2016,23:43:08,.978978620
9,1.23457843948e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1235275268555,Volt DC,100,T,2W,F,F,08/05/2016,23:43:09,.595607620
10,1.131783777808e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2230949401855,Volt DC,100,T,2W,F,F,08/05/2016,23:43:10,.556626660
11,6.389350715175e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1735534667969,Volt DC,100,T,2W,F,F,08/05/2016,23:43:11,.173238740
12,1.079476508181e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2729492187500,Volt DC,100,T,2W,F,F,08/05/2016,23:43:12,.134260560
13,1.114710546091e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2236709594727,Volt DC,100,T,2W,F,F,08/05/2016,23:43:12,.750870520
