Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,401
Base Time Seconds,1470371437
Base Time Fractional,.234049680
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.06330047251e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0002708435059,Volt DC,100,T,2W,F,F,08/05/2016,04:30:37,.234049680
2,1.913789349217e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9266700744629,Volt DC,100,T,2W,F,F,08/05/2016,04:30:37,.834930080
3,1.656797143923e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0503616333008,Volt DC,100,T,2W,F,F,08/05/2016,04:30:38,.795938220
4,3.651234037338e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9844512939453,Volt DC,100,T,2W,F,F,08/05/2016,04:30:39,.412554620
5,1.503807078862e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1003684997559,Volt DC,100,T,2W,F,F,08/05/2016,04:30:40,.373574880
6,1.39647404751e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0300750732422,Volt DC,100,T,2W,F,F,08/05/2016,04:30:40,.990207520
7,1.035580621256e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1494369506836,Volt DC,100,T,2W,F,F,08/05/2016,04:30:41,.951215620
8,1.357431722582e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0790100097656,Volt DC,100,T,2W,F,F,08/05/2016,04:30:42,.567830560
9,1.306070362972e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1993675231934,Volt DC,100,T,2W,F,F,08/05/2016,04:30:43,.528855300
10,2.885330308011e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1320915222168,Volt DC,100,T,2W,F,F,08/05/2016,04:30:44,.145459780
11,1.180315400973e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2493438720703,Volt DC,100,T,2W,F,F,08/05/2016,04:30:45,.106511720
12,1.913564640077e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1785583496094,Volt DC,100,T,2W,F,F,08/05/2016,04:30:45,.723137620
13,1.107870684081e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2991485595703,Volt DC,100,T,2W,F,F,08/05/2016,04:30:46,.684175720
14,1.213185329973e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2340736389160,Volt DC,100,T,2W,F,F,08/05/2016,04:30:47,.300755040
15,1.269269689352e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3491821289063,Volt DC,100,T,2W,F,F,08/05/2016,04:30:48,.261777600
