Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,401
Base Time Seconds,1470366412
Base Time Fractional,.107303720
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,9.402242318046e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0002593994141,Volt DC,100,T,2W,F,F,08/05/2016,03:06:52,.107303720
2,3.368330059317e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9558143615723,Volt DC,100,T,2W,F,F,08/05/2016,03:06:52,.723960220
3,7.42410244392e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0504684448242,Volt DC,100,T,2W,F,F,08/05/2016,03:06:53,.684993700
4,5.040541872781e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0060577392578,Volt DC,100,T,2W,F,F,08/05/2016,03:06:54,.301648340
5,6.779124483991e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1003379821777,Volt DC,100,T,2W,F,F,08/05/2016,03:06:55,.262652820
6,5.569611993828e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0554695129395,Volt DC,100,T,2W,F,F,08/05/2016,03:06:55,.879285600
7,6.134918129064e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1494750976563,Volt DC,100,T,2W,F,F,08/05/2016,03:06:56,.840322880
8,2.20526888417e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1057853698730,Volt DC,100,T,2W,F,F,08/05/2016,03:06:57,.456974940
9,5.084372922681e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1323852539063,Volt DC,100,T,2W,F,F,08/05/2016,03:06:58,.590885060
10,4.986960844278e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1553573608398,Volt DC,100,T,2W,F,F,08/05/2016,03:06:59,.724784460
11,5.424361515516e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2493515014648,Volt DC,100,T,2W,F,F,08/05/2016,03:07:00,.685824720
12,4.229515349063e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2057876586914,Volt DC,100,T,2W,F,F,08/05/2016,03:07:01,.302450060
13,5.798541091728e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2992019653320,Volt DC,100,T,2W,F,F,08/05/2016,03:07:02,.263510680
14,5.073853559523e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2585983276367,Volt DC,100,T,2W,F,F,08/05/2016,03:07:02,.880144380
15,5.188168783476e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2820968627930,Volt DC,100,T,2W,F,F,08/05/2016,03:07:04,.014051560
16,5.257317914342e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3084182739258,Volt DC,100,T,2W,F,F,08/05/2016,03:07:05,.147904600
17,5.661214275143e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3992080688477,Volt DC,100,T,2W,F,F,08/05/2016,03:07:06,.108905900
18,5.140689540717e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3585281372070,Volt DC,100,T,2W,F,F,08/05/2016,03:07:06,.725563860
19,3.989359675938e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4492225646973,Volt DC,100,T,2W,F,F,08/05/2016,03:07:07,.686592700
20,-2.617780991976e-12,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4101257324219,Volt DC,100,T,2W,F,F,08/05/2016,03:07:08,.303259700
21,4.643809781157e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4319038391113,Volt DC,100,T,2W,F,F,08/05/2016,03:07:09,.437121800
22,4.699774458494e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4585418701172,Volt DC,100,T,2W,F,F,08/05/2016,03:07:10,.571027900
23,4.812554799116e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5494308471680,Volt DC,100,T,2W,F,F,08/05/2016,03:07:11,.532016880
24,2.334732962517e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5087318420410,Volt DC,100,T,2W,F,F,08/05/2016,03:07:12,.148638740
25,5.033206074145e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5992431640625,Volt DC,100,T,2W,F,F,08/05/2016,03:07:13,.109701100
26,5.065437513885e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5584411621094,Volt DC,100,T,2W,F,F,08/05/2016,03:07:13,.726327380
27,5.561827109979e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5815811157227,Volt DC,100,T,2W,F,F,08/05/2016,03:07:14,.860225960
28,1.004055172338e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6082687377930,Volt DC,100,T,2W,F,F,08/05/2016,03:07:15,.994062080
29,4.593449232093e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6990890502930,Volt DC,100,T,2W,F,F,08/05/2016,03:07:16,.955081000
30,4.869282199671e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6580467224121,Volt DC,100,T,2W,F,F,08/05/2016,03:07:17,.571664680
31,3.318919028494e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7490921020508,Volt DC,100,T,2W,F,F,08/05/2016,03:07:18,.532751720
32,2.190051889839e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7104911804199,Volt DC,100,T,2W,F,F,08/05/2016,03:07:19,.149347180
33,4.449542678753e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7315940856934,Volt DC,100,T,2W,F,F,08/05/2016,03:07:20,.283206260
34,3.288166405824e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7584953308105,Volt DC,100,T,2W,F,F,08/05/2016,03:07:21,.417059120
35,5.272374759002e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8492240905762,Volt DC,100,T,2W,F,F,08/05/2016,03:07:22,.378067060
36,2.598356807493e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8084449768066,Volt DC,100,T,2W,F,F,08/05/2016,03:07:22,.994717440
37,1.240957225868e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8989524841309,Volt DC,100,T,2W,F,F,08/05/2016,03:07:23,.955729900
38,5.017469217883e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8578758239746,Volt DC,100,T,2W,F,F,08/05/2016,03:07:24,.572368400
39,5.247990375601e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8812866210938,Volt DC,100,T,2W,F,F,08/05/2016,03:07:25,.706243100
40,5.436919803259e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9071502685547,Volt DC,100,T,2W,F,F,08/05/2016,03:07:26,.840108880
41,5.34103650196e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9981765747070,Volt DC,100,T,2W,F,F,08/05/2016,03:07:27,.801126560
42,4.125327024429e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9571762084961,Volt DC,100,T,2W,F,F,08/05/2016,03:07:28,.417746120
43,3.202422493853e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0482482910156,Volt DC,100,T,2W,F,F,08/05/2016,03:07:29,.378804220
44,3.083033273121e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0071830749512,Volt DC,100,T,2W,F,F,08/05/2016,03:07:29,.995409240
45,4.684344578898e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0300788879395,Volt DC,100,T,2W,F,F,08/05/2016,03:07:31,.129308040
46,3.404586612632e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0571403503418,Volt DC,100,T,2W,F,F,08/05/2016,03:07:32,.263181540
47,1.08232485474e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1480369567871,Volt DC,100,T,2W,F,F,08/05/2016,03:07:33,.224232340
48,1.667082305534e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1072006225586,Volt DC,100,T,2W,F,F,08/05/2016,03:07:33,.840848520
49,6.229811111425e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1979866027832,Volt DC,100,T,2W,F,F,08/05/2016,03:07:34,.801863500
50,4.718989643493e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1569900512695,Volt DC,100,T,2W,F,F,08/05/2016,03:07:35,.418455500
51,5.346032505571e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1801567077637,Volt DC,100,T,2W,F,F,08/05/2016,03:07:36,.552362440
52,5.44498834909e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2068519592285,Volt DC,100,T,2W,F,F,08/05/2016,03:07:37,.686229260
53,5.594859575631e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2978057861328,Volt DC,100,T,2W,F,F,08/05/2016,03:07:38,.647237540
54,4.997480207436e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2569885253906,Volt DC,100,T,2W,F,F,08/05/2016,03:07:39,.263868720
55,2.498037887655e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3478965759277,Volt DC,100,T,2W,F,F,08/05/2016,03:07:40,.224878080
56,2.517213659736e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3075828552246,Volt DC,100,T,2W,F,F,08/05/2016,03:07:40,.841506700
57,6.799645846378e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3338966369629,Volt DC,100,T,2W,F,F,08/05/2016,03:07:41,.975385560
58,6.543813824145e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4249305725098,Volt DC,100,T,2W,F,F,08/05/2016,03:07:42,.936408840
59,1.998592957797e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3840103149414,Volt DC,100,T,2W,F,F,08/05/2016,03:07:43,.553041360
60,6.158061838235e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4750556945801,Volt DC,100,T,2W,F,F,08/05/2016,03:07:44,.514074040
61,5.358303245551e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4335594177246,Volt DC,100,T,2W,F,F,08/05/2016,03:07:45,.130680940
62,6.134940888636e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4566459655762,Volt DC,100,T,2W,F,F,08/05/2016,03:07:46,.264579060
