Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,401
Base Time Seconds,1470369635
Base Time Fractional,.208742360
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.14636507837e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,48.0001716613770,Volt DC,100,T,2W,F,F,08/05/2016,04:00:35,.208742360
2,9.331236894283e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9486351013184,Volt DC,100,T,2W,F,F,08/05/2016,04:00:35,.809630600
3,1.039669128566e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0502243041992,Volt DC,100,T,2W,F,F,08/05/2016,04:00:36,.770651820
4,9.190131988746e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0006866455078,Volt DC,100,T,2W,F,F,08/05/2016,04:00:37,.387265260
5,7.326884099434e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1002883911133,Volt DC,100,T,2W,F,F,08/05/2016,04:00:38,.348285640
6,5.437196248792e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0507049560547,Volt DC,100,T,2W,F,F,08/05/2016,04:00:38,.964901380
7,8.874258550229e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0773887634277,Volt DC,100,T,2W,F,F,08/05/2016,04:00:40,.098757700
8,7.706291160758e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1013755798340,Volt DC,100,T,2W,F,F,08/05/2016,04:00:41,.232649540
9,7.974828575286e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1270256042480,Volt DC,100,T,2W,F,F,08/05/2016,04:00:42,.366528080
10,7.897026366166e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2226371765137,Volt DC,100,T,2W,F,F,08/05/2016,04:00:43,.327558240
11,4.34020319684e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1772842407227,Volt DC,100,T,2W,F,F,08/05/2016,04:00:43,.944198900
12,9.666076827841e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2723350524902,Volt DC,100,T,2W,F,F,08/05/2016,04:00:44,.905228820
13,7.994809814171e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2270469665527,Volt DC,100,T,2W,F,F,08/05/2016,04:00:45,.521864280
14,8.075607405011e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2538909912109,Volt DC,100,T,2W,F,F,08/05/2016,04:00:46,.655744000
15,4.552699328642e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2756843566895,Volt DC,100,T,2W,F,F,08/05/2016,04:00:47,.789604000
16,8.672561002676e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3037528991699,Volt DC,100,T,2W,F,F,08/05/2016,04:00:48,.923429420
17,8.690905217712e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3990135192871,Volt DC,100,T,2W,F,F,08/05/2016,04:00:49,.884448660
18,7.906449939199e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3536872863770,Volt DC,100,T,2W,F,F,08/05/2016,04:00:50,.501078520
19,7.461126161346e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4491806030273,Volt DC,100,T,2W,F,F,08/05/2016,04:00:51,.462128980
20,5.515953249713e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4067993164063,Volt DC,100,T,2W,F,F,08/05/2016,04:00:52,.078771620
21,9.331726502637e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4290847778320,Volt DC,100,T,2W,F,F,08/05/2016,04:00:53,.212662060
22,7.623257580747e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4539260864258,Volt DC,100,T,2W,F,F,08/05/2016,04:00:54,.346561740
23,7.665264534218e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4772682189941,Volt DC,100,T,2W,F,F,08/05/2016,04:00:55,.480427420
24,7.966460269238e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5759773254395,Volt DC,100,T,2W,F,F,08/05/2016,04:00:56,.441449680
25,4.268880249292e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5272293090820,Volt DC,100,T,2W,F,F,08/05/2016,04:00:57,.058083580
26,8.130789375116e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6258430480957,Volt DC,100,T,2W,F,F,08/05/2016,04:00:58,.019114480
27,7.681816294181e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5769538879395,Volt DC,100,T,2W,F,F,08/05/2016,04:00:58,.635733780
28,5.284240822689e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6063079833984,Volt DC,100,T,2W,F,F,08/05/2016,04:00:59,.769601420
29,8.166424203537e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6269111633301,Volt DC,100,T,2W,F,F,08/05/2016,04:01:00,.903439260
30,7.867665408057e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6531028747559,Volt DC,100,T,2W,F,F,08/05/2016,04:01:02,.037266860
31,7.830675552434e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7490882873535,Volt DC,100,T,2W,F,F,08/05/2016,04:01:02,.998303760
32,7.683151337368e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7034301757813,Volt DC,100,T,2W,F,F,08/05/2016,04:01:03,.614954060
33,6.878633773688e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7988281250000,Volt DC,100,T,2W,F,F,08/05/2016,04:01:04,.575994200
34,4.770177586266e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7547302246094,Volt DC,100,T,2W,F,F,08/05/2016,04:01:05,.192642340
35,7.600531870544e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7768669128418,Volt DC,100,T,2W,F,F,08/05/2016,04:01:06,.326517960
36,7.345190566888e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8035087585449,Volt DC,100,T,2W,F,F,08/05/2016,04:01:07,.460381160
37,7.438951676875e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8267135620117,Volt DC,100,T,2W,F,F,08/05/2016,04:01:08,.594248220
38,8.298204901003e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9255638122559,Volt DC,100,T,2W,F,F,08/05/2016,04:01:09,.555291480
39,3.717929020208e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8770523071289,Volt DC,100,T,2W,F,F,08/05/2016,04:01:10,.171910720
40,8.340638180115e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9748764038086,Volt DC,100,T,2W,F,F,08/05/2016,04:01:11,.132944080
41,7.625288178659e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9256935119629,Volt DC,100,T,2W,F,F,08/05/2016,04:01:11,.749588260
42,7.86906872996e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9525566101074,Volt DC,100,T,2W,F,F,08/05/2016,04:01:12,.883491660
43,7.985412331379e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9753875732422,Volt DC,100,T,2W,F,F,08/05/2016,04:01:14,.017365600
44,7.820817882198e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0022506713867,Volt DC,100,T,2W,F,F,08/05/2016,04:01:15,.151235360
45,7.404805657529e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0978584289551,Volt DC,100,T,2W,F,F,08/05/2016,04:01:16,.112243920
46,7.549902369952e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0518455505371,Volt DC,100,T,2W,F,F,08/05/2016,04:01:16,.728856560
47,6.26529328418e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1480026245117,Volt DC,100,T,2W,F,F,08/05/2016,04:01:17,.689885100
48,3.95461996483e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1026000976563,Volt DC,100,T,2W,F,F,08/05/2016,04:01:18,.306476480
49,7.241252042434e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1250610351563,Volt DC,100,T,2W,F,F,08/05/2016,04:01:19,.440333120
50,7.300445248326e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1520538330078,Volt DC,100,T,2W,F,F,08/05/2016,04:01:20,.574209340
51,7.45613570885e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1752204895020,Volt DC,100,T,2W,F,F,08/05/2016,04:01:21,.708070540
52,7.596138162924e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2747344970703,Volt DC,100,T,2W,F,F,08/05/2016,04:01:22,.669077980
53,3.866254816298e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2251892089844,Volt DC,100,T,2W,F,F,08/05/2016,04:01:23,.285685900
54,6.794541040911e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3245277404785,Volt DC,100,T,2W,F,F,08/05/2016,04:01:24,.246727920
55,7.600250984119e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2753105163574,Volt DC,100,T,2W,F,F,08/05/2016,04:01:24,.863346300
56,7.920121780636e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3018379211426,Volt DC,100,T,2W,F,F,08/05/2016,04:01:25,.997187100
57,9.691362157227e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3327407836914,Volt DC,100,T,2W,F,F,08/05/2016,04:01:27,.131044120
58,7.342241814534e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3518600463867,Volt DC,100,T,2W,F,F,08/05/2016,04:01:28,.264908780
59,7.801352341907e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4514617919922,Volt DC,100,T,2W,F,F,08/05/2016,04:01:29,.225914000
60,8.938419449045e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4019813537598,Volt DC,100,T,2W,F,F,08/05/2016,04:01:29,.842525600
61,8.858320743599e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5014190673828,Volt DC,100,T,2W,F,F,08/05/2016,04:01:30,.803584280
62,3.210808008358e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4516601562500,Volt DC,100,T,2W,F,F,08/05/2016,04:01:31,.420178380
63,8.610663293496e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5512351989746,Volt DC,100,T,2W,F,F,08/05/2016,04:01:32,.381197280
64,7.49898643182e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5012550354004,Volt DC,100,T,2W,F,F,08/05/2016,04:01:32,.997842960
65,8.184795619037e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6013183593750,Volt DC,100,T,2W,F,F,08/05/2016,04:01:33,.958869060
66,7.725997619445e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5511283874512,Volt DC,100,T,2W,F,F,08/05/2016,04:01:34,.575512860
67,7.821415737297e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6512298583984,Volt DC,100,T,2W,F,F,08/05/2016,04:01:35,.536541140
68,3.652424751532e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6017684936523,Volt DC,100,T,2W,F,F,08/05/2016,04:01:36,.153141660
69,7.652220523902e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6282386779785,Volt DC,100,T,2W,F,F,08/05/2016,04:01:37,.287004160
70,7.492251263841e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6511001586914,Volt DC,100,T,2W,F,F,08/05/2016,04:01:38,.420833320
71,7.430537296571e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6779136657715,Volt DC,100,T,2W,F,F,08/05/2016,04:01:39,.554731420
72,7.534612378457e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7012100219727,Volt DC,100,T,2W,F,F,08/05/2016,04:01:40,.688598640
73,7.649371136509e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.8013114929199,Volt DC,100,T,2W,F,F,08/05/2016,04:01:41,.649654240
74,3.72206626631e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7508621215820,Volt DC,100,T,2W,F,F,08/05/2016,04:01:42,.266241820
