Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,499
Base Time Seconds,1470874772
Base Time Fractional,.101772480
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.574578215648e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0226173400879,Volt DC,100,T,2W,F,F,08/11/2016,00:19:32,.101772480
2,2.712167770369e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0426445007324,Volt DC,100,T,2W,F,F,08/11/2016,00:19:32,.172437000
3,1.719237019415e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0625953674316,Volt DC,100,T,2W,F,F,08/11/2016,00:19:32,.311372280
4,1.072254036671e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0826492309570,Volt DC,100,T,2W,F,F,08/11/2016,00:19:32,.571717940
5,9.07350425905e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1028480529785,Volt DC,100,T,2W,F,F,08/11/2016,00:19:32,.712267560
6,6.771870175726e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1219367980957,Volt DC,100,T,2W,F,F,08/11/2016,00:19:32,.981725400
7,6.336806279705e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1419219970703,Volt DC,100,T,2W,F,F,08/11/2016,00:19:33,.113387740
8,5.185988882772e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1619529724121,Volt DC,100,T,2W,F,F,08/11/2016,00:19:33,.381729480
9,4.884250870418e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1818428039551,Volt DC,100,T,2W,F,F,08/11/2016,00:19:33,.514257340
10,4.11236165121e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2019081115723,Volt DC,100,T,2W,F,F,08/11/2016,00:19:33,.781620060
11,4.098328432178e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2217636108398,Volt DC,100,T,2W,F,F,08/11/2016,00:19:33,.914960980
12,3.621159194722e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2416839599609,Volt DC,100,T,2W,F,F,08/11/2016,00:19:34,.181782340
13,3.473798670939e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2617530822754,Volt DC,100,T,2W,F,F,08/11/2016,00:19:34,.315901840
14,3.052767283407e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2815513610840,Volt DC,100,T,2W,F,F,08/11/2016,00:19:34,.581784820
15,2.975579249664e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3017082214355,Volt DC,100,T,2W,F,F,08/11/2016,00:19:34,.716751160
16,2.73699569675e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3218307495117,Volt DC,100,T,2W,F,F,08/11/2016,00:19:34,.981796520
17,2.63173731696e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3416709899902,Volt DC,100,T,2W,F,F,08/11/2016,00:19:35,.117773600
18,2.470342508332e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3615989685059,Volt DC,100,T,2W,F,F,08/11/2016,00:19:35,.381786280
19,2.498411078022e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3815879821777,Volt DC,100,T,2W,F,F,08/11/2016,00:19:35,.518868440
20,2.266844489895e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4016189575195,Volt DC,100,T,2W,F,F,08/11/2016,00:19:35,.781824980
21,2.41420536895e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4217910766602,Volt DC,100,T,2W,F,F,08/11/2016,00:19:35,.919953460
22,2.203689497549e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4414405822754,Volt DC,100,T,2W,F,F,08/11/2016,00:19:36,.181919080
23,2.168603963071e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4614410400391,Volt DC,100,T,2W,F,F,08/11/2016,00:19:36,.321068760
24,2.140534860473e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4814872741699,Volt DC,100,T,2W,F,F,08/11/2016,00:19:36,.581852380
25,2.000191834384e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5016136169434,Volt DC,100,T,2W,F,F,08/11/2016,00:19:36,.722154760
26,2.049312186614e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5216865539551,Volt DC,100,T,2W,F,F,08/11/2016,00:19:36,.991864220
27,1.951071659789e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5418815612793,Volt DC,100,T,2W,F,F,08/11/2016,00:19:37,.123264520
28,1.96510612227e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5617065429688,Volt DC,100,T,2W,F,F,08/11/2016,00:19:37,.391956260
29,1.810727923157e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5817565917969,Volt DC,100,T,2W,F,F,08/11/2016,00:19:37,.524364580
30,1.719504894027e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6016464233398,Volt DC,100,T,2W,F,F,08/11/2016,00:19:37,.791812020
31,1.852831132965e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6216163635254,Volt DC,100,T,2W,F,F,08/11/2016,00:19:37,.925486900
32,1.642315972106e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6415977478027,Volt DC,100,T,2W,F,F,08/11/2016,00:19:38,.191893040
33,1.663367399374e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6614036560059,Volt DC,100,T,2W,F,F,08/11/2016,00:19:38,.326623100
34,1.593195619876e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6814155578613,Volt DC,100,T,2W,F,F,08/11/2016,00:19:38,.592009820
35,1.754590961411e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7014579772949,Volt DC,100,T,2W,F,F,08/11/2016,00:19:38,.727649220
36,1.558109907762e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7214927673340,Volt DC,100,T,2W,F,F,08/11/2016,00:19:38,.991995340
37,1.593195619876e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7416267395020,Volt DC,100,T,2W,F,F,08/11/2016,00:19:39,.128782600
38,1.33355788634e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7614097595215,Volt DC,100,T,2W,F,F,08/11/2016,00:19:39,.391953860
39,1.775642388679e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7813911437988,Volt DC,100,T,2W,F,F,08/11/2016,00:19:39,.529906100
40,1.270401739362e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8014373779297,Volt DC,100,T,2W,F,F,08/11/2016,00:19:39,.792001180
