Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,499
Base Time Seconds,1470877107
Base Time Fractional,.521813880
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.599877007015e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0223503112793,Volt DC,100,T,2W,F,F,08/11/2016,00:58:27,.521813880
2,1.034355676666e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0423545837402,Volt DC,100,T,2W,F,F,08/11/2016,00:58:27,.787677360
3,7.964748505174e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0623855590820,Volt DC,100,T,2W,F,F,08/11/2016,00:58:27,.922929400
4,5.452615425838e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0824089050293,Volt DC,100,T,2W,F,F,08/11/2016,00:58:28,.187713720
5,4.814054932467e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1025848388672,Volt DC,100,T,2W,F,F,08/11/2016,00:58:28,.324019540
6,3.705349982397e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1216583251953,Volt DC,100,T,2W,F,F,08/11/2016,00:58:28,.587703400
7,3.473784815355e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1416244506836,Volt DC,100,T,2W,F,F,08/11/2016,00:58:28,.725126620
8,3.073809295984e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1616783142090,Volt DC,100,T,2W,F,F,08/11/2016,00:58:28,.987729400
9,2.884345917664e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1815567016602,Volt DC,100,T,2W,F,F,08/11/2016,00:58:29,.126245600
10,2.329993264993e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2016143798828,Volt DC,100,T,2W,F,F,08/11/2016,00:58:29,.387736380
11,2.372095408987e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2213706970215,Volt DC,100,T,2W,F,F,08/11/2016,00:58:29,.527381380
12,2.084393813107e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2414360046387,Volt DC,100,T,2W,F,F,08/11/2016,00:58:29,.787693040
13,2.07737684832e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2615547180176,Volt DC,100,T,2W,F,F,08/11/2016,00:58:29,.928446020
14,1.740554367302e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2813987731934,Volt DC,100,T,2W,F,F,08/11/2016,00:58:30,.197694680
15,1.810725791529e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3015289306641,Volt DC,100,T,2W,F,F,08/11/2016,00:58:30,.329556700
16,1.747571687361e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3216171264648,Volt DC,100,T,2W,F,F,08/11/2016,00:58:30,.597813880
17,1.656348835866e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3414497375488,Volt DC,100,T,2W,F,F,08/11/2016,00:58:30,.730678800
18,1.361627699481e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3614234924316,Volt DC,100,T,2W,F,F,08/11/2016,00:58:30,.997795960
19,1.445835007274e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3813247680664,Volt DC,100,T,2W,F,F,08/11/2016,00:58:31,.131788160
20,1.466886345725e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4013900756836,Volt DC,100,T,2W,F,F,08/11/2016,00:58:31,.397747520
21,1.501972057838e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4215126037598,Volt DC,100,T,2W,F,F,08/11/2016,00:58:31,.532894040
22,1.347593059364e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4412841796875,Volt DC,100,T,2W,F,F,08/11/2016,00:58:31,.797828460
23,1.30548931665e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4612121582031,Volt DC,100,T,2W,F,F,08/11/2016,00:58:31,.933832300
24,1.298472085409e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4812927246094,Volt DC,100,T,2W,F,F,08/11/2016,00:58:32,.197832160
25,1.256368076241e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5014076232910,Volt DC,100,T,2W,F,F,08/11/2016,00:58:32,.334940720
