Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,499
Base Time Seconds,1470875503
Base Time Fractional,.375328660
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.972495565245e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0224800109863,Volt DC,100,T,2W,F,F,08/11/2016,00:31:43,.375328660
2,2.2041180614e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0424613952637,Volt DC,100,T,2W,F,F,08/11/2016,00:31:43,.445961400
3,1.370480475771e-07,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0625038146973,Volt DC,100,T,2W,F,F,08/11/2016,00:31:43,.584517160
4,8.077045521304e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0825729370117,Volt DC,100,T,2W,F,F,08/11/2016,00:31:43,.845317620
5,6.84904577497e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1028327941895,Volt DC,100,T,2W,F,F,08/11/2016,00:31:43,.985554920
6,5.157910365483e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1218605041504,Volt DC,100,T,2W,F,F,08/11/2016,00:31:44,.255278240
7,4.701794154016e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1417732238770,Volt DC,100,T,2W,F,F,08/11/2016,00:31:44,.386661700
8,3.817634208758e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1618309020996,Volt DC,100,T,2W,F,F,08/11/2016,00:31:44,.655188500
9,3.677290649762e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1818466186523,Volt DC,100,T,2W,F,F,08/11/2016,00:31:44,.787554000
10,3.080830879298e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2017211914063,Volt DC,100,T,2W,F,F,08/11/2016,00:31:45,.055394800
11,3.003644266641e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2216148376465,Volt DC,100,T,2W,F,F,08/11/2016,00:31:45,.188548800
12,2.547528765717e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2415428161621,Volt DC,100,T,2W,F,F,08/11/2016,00:31:45,.455414060
13,2.589631264982e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2616271972656,Volt DC,100,T,2W,F,F,08/11/2016,00:31:45,.589327200
14,2.322979497649e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2815246582031,Volt DC,100,T,2W,F,F,08/11/2016,00:31:45,.855358900
15,2.27385950069e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3015670776367,Volt DC,100,T,2W,F,F,08/11/2016,00:31:45,.990218440
16,2.021241840566e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3216857910156,Volt DC,100,T,2W,F,F,08/11/2016,00:31:46,.255423260
17,2.049310232621e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3416137695313,Volt DC,100,T,2W,F,F,08/11/2016,00:31:46,.391240460
18,1.91598452659e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3615264892578,Volt DC,100,T,2W,F,F,08/11/2016,00:31:46,.655269080
19,1.915984348955e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3815002441406,Volt DC,100,T,2W,F,F,08/11/2016,00:31:46,.792237200
20,1.761606860384e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4015007019043,Volt DC,100,T,2W,F,F,08/11/2016,00:31:47,.055284720
21,1.719504005848e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4216690063477,Volt DC,100,T,2W,F,F,08/11/2016,00:31:47,.193286580
22,1.642315439199e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4413909912109,Volt DC,100,T,2W,F,F,08/11/2016,00:31:47,.455277840
23,1.621263834295e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4613380432129,Volt DC,100,T,2W,F,F,08/11/2016,00:31:47,.594162360
24,1.431800722429e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4813995361328,Volt DC,100,T,2W,F,F,08/11/2016,00:31:47,.855394460
25,1.537057947587e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5014305114746,Volt DC,100,T,2W,F,F,08/11/2016,00:31:47,.995181740
26,1.410748762254e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5215301513672,Volt DC,100,T,2W,F,F,08/11/2016,00:31:48,.265490760
27,1.516006520319e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5417137145996,Volt DC,100,T,2W,F,F,08/11/2016,00:31:48,.395984440
28,1.396714122137e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5615577697754,Volt DC,100,T,2W,F,F,08/11/2016,00:31:48,.665483840
29,1.537057947587e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5816841125488,Volt DC,100,T,2W,F,F,08/11/2016,00:31:48,.796884320
30,1.424783402371e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6015167236328,Volt DC,100,T,2W,F,F,08/11/2016,00:31:49,.065482320
31,1.326540832736e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6215248107910,Volt DC,100,T,2W,F,F,08/11/2016,00:31:49,.197787960
32,1.249350134458e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6415290832520,Volt DC,100,T,2W,F,F,08/11/2016,00:31:49,.465485000
33,1.375662161962e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6614189147949,Volt DC,100,T,2W,F,F,08/11/2016,00:31:49,.598725740
34,1.270402094633e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6813774108887,Volt DC,100,T,2W,F,F,08/11/2016,00:31:49,.865485860
35,1.340575384035e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7014007568359,Volt DC,100,T,2W,F,F,08/11/2016,00:31:49,.999701260
