Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,60
Base Time Seconds,1471068033
Base Time Fractional,.032805480
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.593194376426e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.1008453369141,Volt DC,100,T,2W,F,F,08/13/2016,06:00:33,.032805480
2,1.333558685701e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.2040557861328,Volt DC,100,T,2W,F,F,08/13/2016,06:00:36,.035936280
3,1.207247635193e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.3033370971680,Volt DC,100,T,2W,F,F,08/13/2016,06:00:39,.036337940
4,1.130057469823e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.4030838012695,Volt DC,100,T,2W,F,F,08/13/2016,06:00:42,.039507680
5,1.094971047166e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.5031394958496,Volt DC,100,T,2W,F,F,08/13/2016,06:00:45,.040795420
6,1.073919264627e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.6030044555664,Volt DC,100,T,2W,F,F,08/13/2016,06:00:48,.042735360
7,1.024798024218e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.7031288146973,Volt DC,100,T,2W,F,F,08/13/2016,06:00:51,.044802460
8,5.599964580938e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.8028488159180,Volt DC,100,T,2W,F,F,08/13/2016,06:00:54,.048143420
9,1.986152753375e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.9028320312500,Volt DC,100,T,2W,F,F,08/13/2016,06:00:57,.048764820
10,1.986152220468e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0026817321777,Volt DC,100,T,2W,F,F,08/13/2016,06:01:00,.051839760
11,1.508989022625e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1028251647949,Volt DC,100,T,2W,F,F,08/13/2016,06:01:03,.055082800
12,1.740553656759e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2018775939941,Volt DC,100,T,2W,F,F,08/13/2016,06:01:06,.058217160
13,1.375662428416e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3017349243164,Volt DC,100,T,2W,F,F,08/13/2016,06:01:09,.060805640
14,1.705468122282e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4015769958496,Volt DC,100,T,2W,F,F,08/13/2016,06:01:12,.063972660
