Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,150
Base Time Seconds,1471068244
Base Time Fractional,.292804900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.235197709728e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.0411491394043,Volt DC,100,T,2W,F,F,08/13/2016,06:04:04,.292804900
2,2.828205225569e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.0808601379395,Volt DC,100,T,2W,F,F,08/13/2016,06:04:07,.295962540
3,2.098426143959e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.1209144592285,Volt DC,100,T,2W,F,F,08/13/2016,06:04:10,.299280260
4,1.684416695014e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.1607704162598,Volt DC,100,T,2W,F,F,08/13/2016,06:04:13,.300517480
5,1.768621693543e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.2039566040039,Volt DC,100,T,2W,F,F,08/13/2016,06:04:16,.301847480
6,1.523023129835e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.2441329956055,Volt DC,100,T,2W,F,F,08/13/2016,06:04:19,.303264380
7,1.516005987412e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.2833328247070,Volt DC,100,T,2W,F,F,08/13/2016,06:04:22,.304542860
8,1.291455031804e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.3231697082520,Volt DC,100,T,2W,F,F,08/13/2016,06:04:25,.307258240
9,1.186195763836e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.3632583618164,Volt DC,100,T,2W,F,F,08/13/2016,06:04:28,.308514880
10,1.165143981297e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.4031562805176,Volt DC,100,T,2W,F,F,08/13/2016,06:04:31,.310004600
11,1.354610645876e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.4431571960449,Volt DC,100,T,2W,F,F,08/13/2016,06:04:34,.313215140
12,1.214265132887e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.4830513000488,Volt DC,100,T,2W,F,F,08/13/2016,06:04:37,.314938280
13,1.186196030289e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.5231018066406,Volt DC,100,T,2W,F,F,08/13/2016,06:04:40,.316634740
14,1.263385929207e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.5631561279297,Volt DC,100,T,2W,F,F,08/13/2016,06:04:43,.319825200
15,1.326541543278e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.6030387878418,Volt DC,100,T,2W,F,F,08/13/2016,06:04:46,.321587980
16,1.403731619831e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.6429748535156,Volt DC,100,T,2W,F,F,08/13/2016,06:04:49,.324517640
17,1.49495473778e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.6831474304199,Volt DC,100,T,2W,F,F,08/13/2016,06:04:52,.327663400
18,1.354610645876e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.7229614257813,Volt DC,100,T,2W,F,F,08/13/2016,06:04:55,.329420880
19,1.312506903162e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.7629318237305,Volt DC,100,T,2W,F,F,08/13/2016,06:04:58,.332525980
20,1.312506903162e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.8026351928711,Volt DC,100,T,2W,F,F,08/13/2016,06:05:01,.332734080
21,1.361627965935e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.8425941467285,Volt DC,100,T,2W,F,F,08/13/2016,06:05:04,.335870040
22,1.305489760739e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.8827285766602,Volt DC,100,T,2W,F,F,08/13/2016,06:05:07,.336456480
23,1.094971224802e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.9226531982422,Volt DC,100,T,2W,F,F,08/13/2016,06:05:10,.339524800
24,1.179178710231e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,47.9624977111816,Volt DC,100,T,2W,F,F,08/13/2016,06:05:13,.340450040
25,1.165144070114e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0025215148926,Volt DC,100,T,2W,F,F,08/13/2016,06:05:16,.342918260
26,1.354610645876e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0423851013184,Volt DC,100,T,2W,F,F,08/13/2016,06:05:19,.346066420
27,1.214265132887e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0825004577637,Volt DC,100,T,2W,F,F,08/13/2016,06:05:22,.349235200
28,1.49495473778e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1217575073242,Volt DC,100,T,2W,F,F,08/13/2016,06:05:25,.349808140
29,1.186196030289e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1617164611816,Volt DC,100,T,2W,F,F,08/13/2016,06:05:28,.350840300
30,1.333558774519e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2017669677734,Volt DC,100,T,2W,F,F,08/13/2016,06:05:31,.354082920
31,1.144092198757e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2415885925293,Volt DC,100,T,2W,F,F,08/13/2016,06:05:34,.356881320
32,1.445834918457e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2815780639648,Volt DC,100,T,2W,F,F,08/13/2016,06:05:37,.357775840
33,1.101988722496e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3217010498047,Volt DC,100,T,2W,F,F,08/13/2016,06:05:40,.360288140
34,1.200230492771e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3615951538086,Volt DC,100,T,2W,F,F,08/13/2016,06:05:43,.363655840
