Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471397280
Base Time Fractional,.509486580
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.270402805176e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0423507690430,Volt DC,100,T,2W,F,F,08/17/2016,01:28:00,.509486580
2,1.52302330747e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0823860168457,Volt DC,100,T,2W,F,F,08/17/2016,01:28:04,.513808900
3,1.628280266175e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1217193603516,Volt DC,100,T,2W,F,F,08/17/2016,01:28:08,.518148800
4,1.459869203302e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1617202758789,Volt DC,100,T,2W,F,F,08/17/2016,01:28:12,.522451060
5,1.635297408598e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2016525268555,Volt DC,100,T,2W,F,F,08/17/2016,01:28:16,.526683160
6,1.410748851072e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2414321899414,Volt DC,100,T,2W,F,F,08/17/2016,01:28:20,.531043580
7,1.586177589274e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2814254760742,Volt DC,100,T,2W,F,F,08/17/2016,01:28:24,.535364120
8,1.403731531013e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3215599060059,Volt DC,100,T,2W,F,F,08/17/2016,01:28:28,.539709680
9,1.698451512766e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3614273071289,Volt DC,100,T,2W,F,F,08/17/2016,01:28:32,.539928260
10,1.698451512766e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4013557434082,Volt DC,100,T,2W,F,F,08/17/2016,01:28:36,.544277780
11,1.712485797611e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4412879943848,Volt DC,100,T,2W,F,F,08/17/2016,01:28:40,.546613620
12,1.593194554061e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4813117980957,Volt DC,100,T,2W,F,F,08/17/2016,01:28:44,.550932120
13,1.396714210955e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5214614868164,Volt DC,100,T,2W,F,F,08/17/2016,01:28:48,.555118840
