Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471398570
Base Time Fractional,.504494240
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.600211518848e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0422744750977,Volt DC,100,T,2W,F,F,08/17/2016,01:49:30,.504494240
2,1.57916009158e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0823707580566,Volt DC,100,T,2W,F,F,08/17/2016,01:49:34,.508861620
3,1.410748851072e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1216506958008,Volt DC,100,T,2W,F,F,08/17/2016,01:49:38,.513153180
4,1.487937684175e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1616706848145,Volt DC,100,T,2W,F,F,08/17/2016,01:49:42,.517500860
5,1.375662428416e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2015838623047,Volt DC,100,T,2W,F,F,08/17/2016,01:49:46,.521807100
6,1.312506903162e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2414016723633,Volt DC,100,T,2W,F,F,08/17/2016,01:49:50,.526084820
7,1.396714299773e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2813339233398,Volt DC,100,T,2W,F,F,08/17/2016,01:49:54,.530421700
8,1.361627788299e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3215179443359,Volt DC,100,T,2W,F,F,08/17/2016,01:49:58,.534739720
9,1.305489494285e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3613777160645,Volt DC,100,T,2W,F,F,08/17/2016,01:50:02,.535306780
10,1.41776617113e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4013786315918,Volt DC,100,T,2W,F,F,08/17/2016,01:50:06,.539599260
11,1.326541365643e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4412040710449,Volt DC,100,T,2W,F,F,08/17/2016,01:50:10,.543885400
12,1.270403071629e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4812126159668,Volt DC,100,T,2W,F,F,08/17/2016,01:50:14,.548159700
13,1.424783402371e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5213775634766,Volt DC,100,T,2W,F,F,08/17/2016,01:50:18,.552375900
14,1.368645108357e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5614776611328,Volt DC,100,T,2W,F,F,08/17/2016,01:50:22,.556569080
15,1.368645108357e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6014366149902,Volt DC,100,T,2W,F,F,08/17/2016,01:50:26,.560888840
16,1.277420391688e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6413688659668,Volt DC,100,T,2W,F,F,08/17/2016,01:50:30,.565124840
17,1.249351111454e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6812324523926,Volt DC,100,T,2W,F,F,08/17/2016,01:50:34,.569471920
18,1.340576005759e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7212829589844,Volt DC,100,T,2W,F,F,08/17/2016,01:50:38,.573722280
19,1.228299240097e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7611770629883,Volt DC,100,T,2W,F,F,08/17/2016,01:50:42,.577904340
20,1.305489494285e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8012123107910,Volt DC,100,T,2W,F,F,08/17/2016,01:50:46,.582243940
21,1.41776617113e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8413162231445,Volt DC,100,T,2W,F,F,08/17/2016,01:50:50,.586412320
22,1.565125806735e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8810119628906,Volt DC,100,T,2W,F,F,08/17/2016,01:50:54,.590705220
23,1.747570976818e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.9210777282715,Volt DC,100,T,2W,F,F,08/17/2016,01:50:58,.594890900
24,1.75458811924e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.9605712890625,Volt DC,100,T,2W,F,F,08/17/2016,01:51:02,.599218500
