Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471413178
Base Time Fractional,.567984600
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.125441073668e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0425186157227,Volt DC,100,T,2W,F,F,08/17/2016,05:52:58,.567984600
2,1.125443738204e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0825233459473,Volt DC,100,T,2W,F,F,08/17/2016,05:53:02,.568710020
3,1.125444626382e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1217727661133,Volt DC,100,T,2W,F,F,08/17/2016,05:53:06,.571321380
4,1.195620491501e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1617507934570,Volt DC,100,T,2W,F,F,08/17/2016,05:53:10,.575516200
5,1.335961563598e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2016754150391,Volt DC,100,T,2W,F,F,08/17/2016,05:53:14,.579679760
6,1.406132099646e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2415885925293,Volt DC,100,T,2W,F,F,08/17/2016,05:53:18,.583764700
7,1.195616938787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2814636230469,Volt DC,100,T,2W,F,F,08/17/2016,05:53:22,.587928880
8,1.406142757787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3215255737305,Volt DC,100,T,2W,F,F,08/17/2016,05:53:26,.591058360
9,1.335964228133e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3614616394043,Volt DC,100,T,2W,F,F,08/17/2016,05:53:30,.595206920
10,1.335966892668e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4014549255371,Volt DC,100,T,2W,F,F,08/17/2016,05:53:34,.599374400
11,1.195616938787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4413871765137,Volt DC,100,T,2W,F,F,08/17/2016,05:53:38,.603540440
12,1.195617826966e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4813690185547,Volt DC,100,T,2W,F,F,08/17/2016,05:53:42,.607692600
13,1.33596600449e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5214729309082,Volt DC,100,T,2W,F,F,08/17/2016,05:53:46,.611835600
14,1.195616938787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5616111755371,Volt DC,100,T,2W,F,F,08/17/2016,05:53:50,.616086700
15,1.125444626382e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6014785766602,Volt DC,100,T,2W,F,F,08/17/2016,05:53:54,.620315540
16,1.335964228133e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6415519714355,Volt DC,100,T,2W,F,F,08/17/2016,05:53:58,.624437160
17,9.850982252146e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6813163757324,Volt DC,100,T,2W,F,F,08/17/2016,05:54:02,.628589040
18,1.05527586669e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.7213325500488,Volt DC,100,T,2W,F,F,08/17/2016,05:54:06,.632762800
19,1.686832895587e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.7613525390625,Volt DC,100,T,2W,F,F,08/17/2016,05:54:10,.636924180
20,1.055278531226e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8012962341309,Volt DC,100,T,2W,F,F,08/17/2016,05:54:14,.640672140
21,1.33596600449e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8413009643555,Volt DC,100,T,2W,F,F,08/17/2016,05:54:18,.644942520
22,1.476307964765e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8811950683594,Volt DC,100,T,2W,F,F,08/17/2016,05:54:22,.648081940
23,1.476315070192e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.9211807250977,Volt DC,100,T,2W,F,F,08/17/2016,05:54:26,.651133760
24,1.265798132977e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.9607048034668,Volt DC,100,T,2W,F,F,08/17/2016,05:54:30,.655302320
25,1.406142757787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0005340576172,Volt DC,100,T,2W,F,F,08/17/2016,05:54:34,.659456140
26,1.335977550809e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0404586791992,Volt DC,100,T,2W,F,F,08/17/2016,05:54:38,.663621020
27,1.265800797512e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0802688598633,Volt DC,100,T,2W,F,F,08/17/2016,05:54:42,.664129180
28,1.406142757787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.1203422546387,Volt DC,100,T,2W,F,F,08/17/2016,05:54:46,.668249480
29,1.125451731809e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.1604042053223,Volt DC,100,T,2W,F,F,08/17/2016,05:54:50,.672477240
30,1.476312405657e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2003707885742,Volt DC,100,T,2W,F,F,08/17/2016,05:54:54,.676640620
31,1.476320399263e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2402305603027,Volt DC,100,T,2W,F,F,08/17/2016,05:54:58,.680822080
32,1.335972221739e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2802810668945,Volt DC,100,T,2W,F,F,08/17/2016,05:55:02,.685055360
33,1.827181073111e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.3201713562012,Volt DC,100,T,2W,F,F,08/17/2016,05:55:06,.689274120
34,1.265793692085e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.3602600097656,Volt DC,100,T,2W,F,F,08/17/2016,05:55:10,.693455140
35,1.055281195761e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4040336608887,Volt DC,100,T,2W,F,F,08/17/2016,05:55:14,.697681580
