Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471411256
Base Time Fractional,.012878440
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.458780734571e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0422668457031,Volt DC,100,T,2W,F,F,08/17/2016,05:20:56,.012878440
2,2.669300336322e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0823059082031,Volt DC,100,T,2W,F,F,08/17/2016,05:21:00,.016373560
3,2.318432557047e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1216163635254,Volt DC,100,T,2W,F,F,08/17/2016,05:21:04,.020550180
4,2.809638743884e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1617050170898,Volt DC,100,T,2W,F,F,08/17/2016,05:21:08,.020927860
5,2.528954823333e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2015609741211,Volt DC,100,T,2W,F,F,08/17/2016,05:21:12,.025117940
6,2.879818161716e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2413711547852,Volt DC,100,T,2W,F,F,08/17/2016,05:21:16,.027714860
7,2.45878695182e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2813796997070,Volt DC,100,T,2W,F,F,08/17/2016,05:21:20,.031914960
8,2.458778958214e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3215179443359,Volt DC,100,T,2W,F,F,08/17/2016,05:21:24,.036130880
9,2.599129800274e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3613739013672,Volt DC,100,T,2W,F,F,08/17/2016,05:21:28,.040236480
10,2.599124471203e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4013710021973,Volt DC,100,T,2W,F,F,08/17/2016,05:21:32,.044399340
11,2.458778958214e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4412307739258,Volt DC,100,T,2W,F,F,08/17/2016,05:21:36,.046560520
12,2.318432557047e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4813308715820,Volt DC,100,T,2W,F,F,08/17/2016,05:21:40,.048050140
13,2.318431668868e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5214614868164,Volt DC,100,T,2W,F,F,08/17/2016,05:21:44,.048347340
14,2.669306553571e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5614738464355,Volt DC,100,T,2W,F,F,08/17/2016,05:21:48,.052505400
15,2.528952158798e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6013984680176,Volt DC,100,T,2W,F,F,08/17/2016,05:21:52,.056641740
16,2.458778070036e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6413116455078,Volt DC,100,T,2W,F,F,08/17/2016,05:21:56,.060534340
17,2.66929589543e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6812286376953,Volt DC,100,T,2W,F,F,08/17/2016,05:22:00,.064640540
18,2.458785175463e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.7212066650391,Volt DC,100,T,2W,F,F,08/17/2016,05:22:04,.068857740
19,2.318431668868e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.7612571716309,Volt DC,100,T,2W,F,F,08/17/2016,05:22:08,.073031940
20,2.318446767902e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8011703491211,Volt DC,100,T,2W,F,F,08/17/2016,05:22:12,.077187960
21,2.528951270619e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8411445617676,Volt DC,100,T,2W,F,F,08/17/2016,05:22:16,.080078320
22,2.599124471203e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8810882568359,Volt DC,100,T,2W,F,F,08/17/2016,05:22:20,.084221920
23,2.599129800274e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.9210395812988,Volt DC,100,T,2W,F,F,08/17/2016,05:22:24,.088414040
24,2.528952158798e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.9605484008789,Volt DC,100,T,2W,F,F,08/17/2016,05:22:28,.092545180
25,2.388608422166e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0003776550293,Volt DC,100,T,2W,F,F,08/17/2016,05:22:32,.096720980
26,2.599127135738e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0402946472168,Volt DC,100,T,2W,F,F,08/17/2016,05:22:36,.097535300
27,2.458776293679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0801773071289,Volt DC,100,T,2W,F,F,08/17/2016,05:22:40,.101706740
28,2.669295007252e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.1202507019043,Volt DC,100,T,2W,F,F,08/17/2016,05:22:44,.105960600
29,2.388604869452e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.1603012084961,Volt DC,100,T,2W,F,F,08/17/2016,05:22:48,.108733900
30,2.458775405501e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2001838684082,Volt DC,100,T,2W,F,F,08/17/2016,05:22:52,.112929120
31,2.528949494263e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2400436401367,Volt DC,100,T,2W,F,F,08/17/2016,05:22:56,.117098600
32,2.599121806668e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2801971435547,Volt DC,100,T,2W,F,F,08/17/2016,05:23:00,.121353980
33,2.599121806668e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.3200454711914,Volt DC,100,T,2W,F,F,08/17/2016,05:23:04,.125616320
34,2.318436109761e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.3601455688477,Volt DC,100,T,2W,F,F,08/17/2016,05:23:08,.129904780
35,2.38860042856e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4040451049805,Volt DC,100,T,2W,F,F,08/17/2016,05:23:12,.134053480
36,2.669292342716e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4439659118652,Volt DC,100,T,2W,F,F,08/17/2016,05:23:16,.136009660
37,2.458776293679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4839706420898,Volt DC,100,T,2W,F,F,08/17/2016,05:23:20,.140307440
38,2.318429892512e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.5236396789551,Volt DC,100,T,2W,F,F,08/17/2016,05:23:24,.144584220
39,2.528949494263e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.5636405944824,Volt DC,100,T,2W,F,F,08/17/2016,05:23:28,.146735460
40,2.528948606084e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.6037292480469,Volt DC,100,T,2W,F,F,08/17/2016,05:23:32,.151018020
41,2.528946829727e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.6436538696289,Volt DC,100,T,2W,F,F,08/17/2016,05:23:36,.155259980
42,2.318429004333e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.6835517883301,Volt DC,100,T,2W,F,F,08/17/2016,05:23:40,.156438540
43,2.318431668868e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.7234573364258,Volt DC,100,T,2W,F,F,08/17/2016,05:23:44,.160600920
44,2.528948606084e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.7634277343750,Volt DC,100,T,2W,F,F,08/17/2016,05:23:48,.163268080
45,2.528944165192e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.8036651611328,Volt DC,100,T,2W,F,F,08/17/2016,05:23:52,.163913980
46,2.669297671787e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.8427391052246,Volt DC,100,T,2W,F,F,08/17/2016,05:23:56,.167933140
47,2.739466431478e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.8826293945313,Volt DC,100,T,2W,F,F,08/17/2016,05:24:00,.172130540
48,2.458778070036e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.9226341247559,Volt DC,100,T,2W,F,F,08/17/2016,05:24:04,.176408800
49,2.528951270619e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.9626045227051,Volt DC,100,T,2W,F,F,08/17/2016,05:24:08,.179907800
50,2.528949494263e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.0025787353516,Volt DC,100,T,2W,F,F,08/17/2016,05:24:12,.184198900
51,2.528961040582e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.0424346923828,Volt DC,100,T,2W,F,F,08/17/2016,05:24:16,.186584620
52,2.599120030311e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.0825500488281,Volt DC,100,T,2W,F,F,08/17/2016,05:24:20,.190745620
53,2.739471760549e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.1226501464844,Volt DC,100,T,2W,F,F,08/17/2016,05:24:24,.194942660
54,2.739466431478e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.1623878479004,Volt DC,100,T,2W,F,F,08/17/2016,05:24:28,.196774780
55,2.669292342716e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.2024497985840,Volt DC,100,T,2W,F,F,08/17/2016,05:24:32,.200932280
56,2.809644072954e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.2428092956543,Volt DC,100,T,2W,F,F,08/17/2016,05:24:36,.205136760
57,2.52895659969e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.2826042175293,Volt DC,100,T,2W,F,F,08/17/2016,05:24:40,.209408080
58,2.45877007643e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.3225479125977,Volt DC,100,T,2W,F,F,08/17/2016,05:24:44,.213654700
59,1.967569218664e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.3623428344727,Volt DC,100,T,2W,F,F,08/17/2016,05:24:48,.217841700
60,2.809638743884e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.4023704528809,Volt DC,100,T,2W,F,F,08/17/2016,05:24:52,.222035500
61,2.458776293679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.4424324035645,Volt DC,100,T,2W,F,F,08/17/2016,05:24:56,.226209580
62,2.458778958214e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.4822616577148,Volt DC,100,T,2W,F,F,08/17/2016,05:25:00,.230381640
63,2.318429004333e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.5222702026367,Volt DC,100,T,2W,F,F,08/17/2016,05:25:04,.234564300
64,2.599121806668e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.5622520446777,Volt DC,100,T,2W,F,F,08/17/2016,05:25:08,.238767920
65,2.458776293679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.6021842956543,Volt DC,100,T,2W,F,F,08/17/2016,05:25:12,.243010780
66,2.248262909177e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.6421585083008,Volt DC,100,T,2W,F,F,08/17/2016,05:25:16,.246661580
