Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471410610
Base Time Fractional,.681233300
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.037742419247e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0423202514648,Volt DC,100,T,2W,F,F,08/17/2016,05:10:10,.681233300
2,2.318424563441e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0824432373047,Volt DC,100,T,2W,F,F,08/17/2016,05:10:14,.685258040
3,2.528949494263e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1217002868652,Volt DC,100,T,2W,F,F,08/17/2016,05:10:18,.689431520
4,2.38860042856e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1617279052734,Volt DC,100,T,2W,F,F,08/17/2016,05:10:22,.693643700
5,2.458772740965e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2016220092773,Volt DC,100,T,2W,F,F,08/17/2016,05:10:26,.697822880
6,2.599113813062e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2414245605469,Volt DC,100,T,2W,F,F,08/17/2016,05:10:30,.702046520
7,2.599116477597e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2814559936523,Volt DC,100,T,2W,F,F,08/17/2016,05:10:34,.703915660
8,2.248254027393e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3215522766113,Volt DC,100,T,2W,F,F,08/17/2016,05:10:38,.708002820
9,2.458775405501e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3614006042480,Volt DC,100,T,2W,F,F,08/17/2016,05:10:42,.712241380
10,2.458775405501e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4013442993164,Volt DC,100,T,2W,F,F,08/17/2016,05:10:46,.713102820
11,2.599114701241e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4412994384766,Volt DC,100,T,2W,F,F,08/17/2016,05:10:50,.717152240
12,2.45877007643e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4813652038574,Volt DC,100,T,2W,F,F,08/17/2016,05:10:54,.721376960
13,2.45877007643e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5215034484863,Volt DC,100,T,2W,F,F,08/17/2016,05:10:58,.723635380
14,2.458772740965e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5616722106934,Volt DC,100,T,2W,F,F,08/17/2016,05:11:02,.727801000
15,2.528945941549e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6015205383301,Volt DC,100,T,2W,F,F,08/17/2016,05:11:06,.731971140
16,2.809642296597e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6414031982422,Volt DC,100,T,2W,F,F,08/17/2016,05:11:10,.736164900
