Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471403836
Base Time Fractional,.965409520
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.897410228935e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0422706604004,Volt DC,100,T,2W,F,F,08/17/2016,03:17:16,.965409520
2,2.037769952778e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.0822334289551,Volt DC,100,T,2W,F,F,08/17/2016,03:17:20,.969707140
3,2.107928942507e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1216201782227,Volt DC,100,T,2W,F,F,08/17/2016,03:17:24,.974063680
4,2.599146675664e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.1615943908691,Volt DC,100,T,2W,F,F,08/17/2016,03:17:28,.978405780
5,2.037767288243e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2014732360840,Volt DC,100,T,2W,F,F,08/17/2016,03:17:32,.982675500
6,2.388621744842e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2413139343262,Volt DC,100,T,2W,F,F,08/17/2016,03:17:36,.984033340
7,2.669317211712e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.2813034057617,Volt DC,100,T,2W,F,F,08/17/2016,03:17:40,.985310760
8,2.178119018481e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3214645385742,Volt DC,100,T,2W,F,F,08/17/2016,03:17:44,.989590440
9,2.03776373553e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.3613471984863,Volt DC,100,T,2W,F,F,08/17/2016,03:17:48,.993842260
10,2.528968146009e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4014358520508,Volt DC,100,T,2W,F,F,08/17/2016,03:17:52,.998036740
11,1.757080703157e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4411125183105,Volt DC,100,T,2W,F,F,08/17/2016,03:17:57,.002331160
12,2.458798498139e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.4812850952148,Volt DC,100,T,2W,F,F,08/17/2016,03:18:01,.006684800
13,1.967592311303e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5214118957520,Volt DC,100,T,2W,F,F,08/17/2016,03:18:05,.011011860
14,2.037758406459e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.5614967346191,Volt DC,100,T,2W,F,F,08/17/2016,03:18:09,.015246960
15,1.967594975838e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6014328002930,Volt DC,100,T,2W,F,F,08/17/2016,03:18:13,.017207640
16,2.178111024875e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6413726806641,Volt DC,100,T,2W,F,F,08/17/2016,03:18:17,.021221520
17,1.897417334362e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.6812210083008,Volt DC,100,T,2W,F,F,08/17/2016,03:18:21,.025515320
18,2.248280672745e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7212638854980,Volt DC,100,T,2W,F,F,08/17/2016,03:18:25,.029780700
19,1.827241469243e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.7611236572266,Volt DC,100,T,2W,F,F,08/17/2016,03:18:29,.034087880
20,2.458800274496e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8011245727539,Volt DC,100,T,2W,F,F,08/17/2016,03:18:33,.038388780
21,2.669319876247e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8411331176758,Volt DC,100,T,2W,F,F,08/17/2016,03:18:37,.041368740
22,2.248281560924e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.8810806274414,Volt DC,100,T,2W,F,F,08/17/2016,03:18:41,.045571220
23,2.388627962091e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.9210853576660,Volt DC,100,T,2W,F,F,08/17/2016,03:18:45,.047893800
24,2.17810836034e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,48.9605331420898,Volt DC,100,T,2W,F,F,08/17/2016,03:18:49,.052158300
25,1.897418222541e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,49.0002975463867,Volt DC,100,T,2W,F,F,08/17/2016,03:18:53,.053197700
26,1.967590534946e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,49.0403137207031,Volt DC,100,T,2W,F,F,08/17/2016,03:18:57,.056211560
27,1.616723643849e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,49.0801429748535,Volt DC,100,T,2W,F,F,08/17/2016,03:19:01,.060483120
28,2.458798498139e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,49.1200981140137,Volt DC,100,T,2W,F,F,08/17/2016,03:19:05,.064655680
29,1.897419110719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,49.1602516174316,Volt DC,100,T,2W,F,F,08/17/2016,03:19:09,.069028120
30,1.546552219622e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,49.2001266479492,Volt DC,100,T,2W,F,F,08/17/2016,03:19:13,.073198260
