Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,119
Base Time Seconds,1471406206
Base Time Fractional,.594269900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.757075374087e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0420875549316,Volt DC,100,T,2W,F,F,08/17/2016,03:56:46,.594269900
2,2.528981468686e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.0822372436523,Volt DC,100,T,2W,F,F,08/17/2016,03:56:50,.595545920
3,1.897419110719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1215438842773,Volt DC,100,T,2W,F,F,08/17/2016,03:56:54,.599844000
4,1.897419110719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.1615295410156,Volt DC,100,T,2W,F,F,08/17/2016,03:56:58,.603736840
5,2.037764623708e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2014808654785,Volt DC,100,T,2W,F,F,08/17/2016,03:57:02,.607964840
6,1.827247686492e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2413368225098,Volt DC,100,T,2W,F,F,08/17/2016,03:57:06,.608531020
7,1.967596752195e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.2812004089355,Volt DC,100,T,2W,F,F,08/17/2016,03:57:10,.610266720
8,1.757079814979e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3213615417480,Volt DC,100,T,2W,F,F,08/17/2016,03:57:14,.614548040
9,2.248289554529e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.3612632751465,Volt DC,100,T,2W,F,F,08/17/2016,03:57:18,.618852420
10,1.897419110719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4012641906738,Volt DC,100,T,2W,F,F,08/17/2016,03:57:22,.623195660
11,1.897420887076e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4412918090820,Volt DC,100,T,2W,F,F,08/17/2016,03:57:26,.627492800
12,2.248286889994e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.4812889099121,Volt DC,100,T,2W,F,F,08/17/2016,03:57:30,.631777360
13,1.616733413812e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5213584899902,Volt DC,100,T,2W,F,F,08/17/2016,03:57:34,.635961760
14,1.897419110719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.5614814758301,Volt DC,100,T,2W,F,F,08/17/2016,03:57:38,.638209200
15,1.89742443979e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6013641357422,Volt DC,100,T,2W,F,F,08/17/2016,03:57:42,.641510620
16,2.248286001816e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6414108276367,Volt DC,100,T,2W,F,F,08/17/2016,03:57:46,.645651780
17,1.967596752195e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.6811370849609,Volt DC,100,T,2W,F,F,08/17/2016,03:57:50,.649964560
18,1.897423551611e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.7213325500488,Volt DC,100,T,2W,F,F,08/17/2016,03:57:54,.654299060
19,1.967596752195e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.7612648010254,Volt DC,100,T,2W,F,F,08/17/2016,03:57:58,.658490440
20,1.897423551611e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8011550903320,Volt DC,100,T,2W,F,F,08/17/2016,03:58:02,.662781160
21,2.107940488827e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8411979675293,Volt DC,100,T,2W,F,F,08/17/2016,03:58:06,.667037460
22,2.107943153362e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.8810386657715,Volt DC,100,T,2W,F,F,08/17/2016,03:58:10,.671392760
23,1.967590534946e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.9210128784180,Volt DC,100,T,2W,F,F,08/17/2016,03:58:14,.675621480
24,1.827253015563e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,48.9604492187500,Volt DC,100,T,2W,F,F,08/17/2016,03:58:18,.679682460
25,2.037769952778e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0003166198730,Volt DC,100,T,2W,F,F,08/17/2016,03:58:22,.684006600
26,1.967592311303e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0402755737305,Volt DC,100,T,2W,F,F,08/17/2016,03:58:26,.688356160
27,2.107948482433e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.0801391601563,Volt DC,100,T,2W,F,F,08/17/2016,03:58:30,.692583580
28,1.967594975838e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.1201972961426,Volt DC,100,T,2W,F,F,08/17/2016,03:58:34,.696934240
29,2.037772617314e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.1602630615234,Volt DC,100,T,2W,F,F,08/17/2016,03:58:38,.701253880
30,1.967602081265e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2000617980957,Volt DC,100,T,2W,F,F,08/17/2016,03:58:42,.705499920
31,2.388638620232e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2399520874023,Volt DC,100,T,2W,F,F,08/17/2016,03:58:46,.709632440
32,1.89742443979e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.2800369262695,Volt DC,100,T,2W,F,F,08/17/2016,03:58:50,.713935360
33,1.757077150444e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.3199539184570,Volt DC,100,T,2W,F,F,08/17/2016,03:58:54,.718042620
34,1.686911943466e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.3600616455078,Volt DC,100,T,2W,F,F,08/17/2016,03:58:58,.722410400
35,2.318463643292e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4039230346680,Volt DC,100,T,2W,F,F,08/17/2016,03:59:02,.724462280
36,1.897423551611e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4438552856445,Volt DC,100,T,2W,F,F,08/17/2016,03:59:06,.727507220
37,1.96759941673e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.4838485717773,Volt DC,100,T,2W,F,F,08/17/2016,03:59:10,.731790560
38,2.037765511886e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.5235557556152,Volt DC,100,T,2W,F,F,08/17/2016,03:59:14,.736148860
39,1.967594975838e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.5636329650879,Volt DC,100,T,2W,F,F,08/17/2016,03:59:18,.736875000
40,1.967590534946e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.6037025451660,Volt DC,100,T,2W,F,F,08/17/2016,03:59:22,.741213100
41,2.107945817897e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.6435317993164,Volt DC,100,T,2W,F,F,08/17/2016,03:59:26,.743233120
42,1.96759408766e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.6834449768066,Volt DC,100,T,2W,F,F,08/17/2016,03:59:30,.747403280
43,1.967602969444e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.7233352661133,Volt DC,100,T,2W,F,F,08/17/2016,03:59:34,.751712840
44,2.248287778173e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.7634086608887,Volt DC,100,T,2W,F,F,08/17/2016,03:59:38,.756051920
45,1.757075374087e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.8035736083984,Volt DC,100,T,2W,F,F,08/17/2016,03:59:42,.759921220
46,1.546560213228e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.8426628112793,Volt DC,100,T,2W,F,F,08/17/2016,03:59:46,.763174640
47,1.897423551611e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.8826522827148,Volt DC,100,T,2W,F,F,08/17/2016,03:59:50,.767201820
48,1.967590534946e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.9225921630859,Volt DC,100,T,2W,F,F,08/17/2016,03:59:54,.771330660
49,1.897419110719e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,49.9625320434570,Volt DC,100,T,2W,F,F,08/17/2016,03:59:58,.775187100
50,1.89742443979e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.0025062561035,Volt DC,100,T,2W,F,F,08/17/2016,04:00:02,.779073480
51,1.827248574671e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.0424995422363,Volt DC,100,T,2W,F,F,08/17/2016,04:00:06,.781037840
52,1.967597640373e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.0824394226074,Volt DC,100,T,2W,F,F,08/17/2016,04:00:10,.785155800
53,1.616733413812e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.1225547790527,Volt DC,100,T,2W,F,F,08/17/2016,04:00:14,.789439800
54,1.827245910135e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,50.1623191833496,Volt DC,100,T,2W,F,F,08/17/2016,04:00:18,.793453280
