Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,300
Base Time Seconds,1471329956
Base Time Fractional,.126847000
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.536433368367e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.1988607198000,Volt DC,100,T,2W,F,F,08/16/2016,06:45:56,.126847000
2,1.336065480473e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.3980354070663,Volt DC,100,T,2W,F,F,08/16/2016,06:45:58,.129043280
3,6.343379155282e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.5978314876556,Volt DC,100,T,2W,F,F,08/16/2016,06:46:00,.131218240
4,1.546579753153e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.8010244369507,Volt DC,100,T,2W,F,F,08/16/2016,06:46:02,.133422380
5,6.343361391714e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,1.0009723901749,Volt DC,100,T,2W,F,F,08/16/2016,06:46:04,.135564320
6,1.616761835521e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,1.2007815837860,Volt DC,100,T,2W,F,F,08/16/2016,06:46:06,.137848000
7,1.757105572153e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,1.3998873233795,Volt DC,100,T,2W,F,F,08/16/2016,06:46:08,.140136040
8,2.178138558406e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,1.5997252464294,Volt DC,100,T,2W,F,F,08/16/2016,06:46:10,.142320300
9,2.669344745243e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,1.8000600337982,Volt DC,100,T,2W,F,F,08/16/2016,06:46:12,.144466160
10,2.037795709953e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,1.9998968839645,Volt DC,100,T,2W,F,F,08/16/2016,06:46:14,.146802420
11,1.967622509369e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,2.1990439891815,Volt DC,100,T,2W,F,F,08/16/2016,06:46:16,.148985960
12,3.020213412697e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,2.3989503383636,Volt DC,100,T,2W,F,F,08/16/2016,06:46:18,.151249300
13,2.950049093897e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,2.5989930629730,Volt DC,100,T,2W,F,F,08/16/2016,06:46:20,.153515160
14,2.458828696206e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,2.7988743782043,Volt DC,100,T,2W,F,F,08/16/2016,06:46:22,.155630900
15,2.739518834005e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,3.0011839866638,Volt DC,100,T,2W,F,F,08/16/2016,06:46:24,.157895400
16,3.160558037507e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,3.2011861801147,Volt DC,100,T,2W,F,F,08/16/2016,06:46:26,.160085160
17,2.879864346994e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,3.4009830951691,Volt DC,100,T,2W,F,F,08/16/2016,06:46:28,.162309200
18,3.86228649063e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,3.6007223129272,Volt DC,100,T,2W,F,F,08/16/2016,06:46:30,.164520660
19,3.371079415615e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,3.7998688220978,Volt DC,100,T,2W,F,F,08/16/2016,06:46:32,.166709900
20,3.932455250322e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,3.9996807575226,Volt DC,100,T,2W,F,F,08/16/2016,06:46:34,.169001300
