Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,250
Base Time Seconds,1471672497
Base Time Fractional,.615190120
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.721931207679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0407066345215,Volt DC,100,T,2W,F,F,08/20/2016,05:54:57,.615190120
2,8.448486354951e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0807094573975,Volt DC,100,T,2W,F,F,08/20/2016,05:55:00,.618330120
3,3.862275832489e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1206245422363,Volt DC,100,T,2W,F,F,08/20/2016,05:55:03,.621481160
4,2.669344745243e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1606311798096,Volt DC,100,T,2W,F,F,08/20/2016,05:55:06,.624830220
5,1.827261009169e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2006511688232,Volt DC,100,T,2W,F,F,08/20/2016,05:55:09,.628168580
6,-6.287796949778e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2405910491943,Volt DC,100,T,2W,F,F,08/20/2016,05:55:12,.631343360
7,4.353479354791e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2805995941162,Volt DC,100,T,2W,F,F,08/20/2016,05:55:15,.634685740
8,-7.691172143609e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3204994201660,Volt DC,100,T,2W,F,F,08/20/2016,05:55:18,.637994760
9,2.528993903184e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3604927062988,Volt DC,100,T,2W,F,F,08/20/2016,05:55:21,.641292720
10,7.294786996681e-11,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4004821777344,Volt DC,100,T,2W,F,F,08/20/2016,05:55:24,.645356720
11,2.834683598962e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4404239654541,Volt DC,100,T,2W,F,F,08/20/2016,05:55:27,.648546280
12,1.1957110857e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4803714752197,Volt DC,100,T,2W,F,F,08/20/2016,05:55:30,.651778820
13,2.95002511308e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5203514099121,Volt DC,100,T,2W,F,F,08/20/2016,05:55:33,.654973960
14,-9.094689445988e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5602207183838,Volt DC,100,T,2W,F,F,08/20/2016,05:55:36,.658199340
15,2.879851912496e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6035156250000,Volt DC,100,T,2W,F,F,08/20/2016,05:55:39,.661416660
16,4.213136506337e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6434841156006,Volt DC,100,T,2W,F,F,08/20/2016,05:55:42,.664589300
17,-5.586073825725e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6834850311279,Volt DC,100,T,2W,F,F,08/20/2016,05:55:45,.667761240
18,3.862274056132e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.7235660552979,Volt DC,100,T,2W,F,F,08/20/2016,05:55:48,.671036640
19,2.388644837481e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.7634048461914,Volt DC,100,T,2W,F,F,08/20/2016,05:55:51,.671999900
20,-6.287832476914e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8034648895264,Volt DC,100,T,2W,F,F,08/20/2016,05:55:54,.675188400
21,1.827267226417e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8427505493164,Volt DC,100,T,2W,F,F,08/20/2016,05:55:57,.678368620
22,3.020198313664e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8826923370361,Volt DC,100,T,2W,F,F,08/20/2016,05:56:00,.681676060
23,-6.740030755736e-11,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.9226760864258,Volt DC,100,T,2W,F,F,08/20/2016,05:56:03,.684893440
24,1.546575312261e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.9625053405762,Volt DC,100,T,2W,F,F,08/20/2016,05:56:06,.688112360
25,4.353482907504e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0024814605713,Volt DC,100,T,2W,F,F,08/20/2016,05:56:09,.691302260
26,6.343290337441e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0424537658691,Volt DC,100,T,2W,F,F,08/20/2016,05:56:12,.694553160
27,2.132889420636e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0823364257813,Volt DC,100,T,2W,F,F,08/20/2016,05:56:15,.697808200
28,2.178127012087e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.1223773956299,Volt DC,100,T,2W,F,F,08/20/2016,05:56:18,.701005220
29,2.83465695361e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.1622753143311,Volt DC,100,T,2W,F,F,08/20/2016,05:56:21,.704201180
30,4.774517670114e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.2022533416748,Volt DC,100,T,2W,F,F,08/20/2016,05:56:24,.707404960
31,2.950029553972e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.2423439025879,Volt DC,100,T,2W,F,F,08/20/2016,05:56:27,.710625940
32,4.939817443983e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.2825031280518,Volt DC,100,T,2W,F,F,08/20/2016,05:56:30,.713782920
33,3.862277608846e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.3223972320557,Volt DC,100,T,2W,F,F,08/20/2016,05:56:33,.716956080
34,1.757093137655e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.3623905181885,Volt DC,100,T,2W,F,F,08/20/2016,05:56:36,.719917540
35,1.055367349068e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.4021949768066,Volt DC,100,T,2W,F,F,08/20/2016,05:56:39,.723107240
36,3.536415604799e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.4422225952148,Volt DC,100,T,2W,F,F,08/20/2016,05:56:42,.726402400
37,3.44124639895e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.4822902679443,Volt DC,100,T,2W,F,F,08/20/2016,05:56:45,.729740620
38,-6.739675484368e-11,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.5221138000488,Volt DC,100,T,2W,F,F,08/20/2016,05:56:48,.733150160
39,2.669337639816e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.5622005462646,Volt DC,100,T,2W,F,F,08/20/2016,05:56:51,.736411440
40,-2.779172447731e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.6020507812500,Volt DC,100,T,2W,F,F,08/20/2016,05:56:54,.739642940
41,3.536380077662e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.6420516967773,Volt DC,100,T,2W,F,F,08/20/2016,05:56:57,.743033640
42,7.045164451824e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.6820812225342,Volt DC,100,T,2W,F,F,08/20/2016,05:57:00,.746260580
43,3.30089555689e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.7212562561035,Volt DC,100,T,2W,F,F,08/20/2016,05:57:03,.749537520
44,-7.691154380041e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.7611675262451,Volt DC,100,T,2W,F,F,08/20/2016,05:57:06,.752835040
45,2.107956476038e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.8011550903320,Volt DC,100,T,2W,F,F,08/20/2016,05:57:09,.756189080
46,3.792101743727e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.8410720825195,Volt DC,100,T,2W,F,F,08/20/2016,05:57:12,.757975160
47,1.055362019997e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.8811340332031,Volt DC,100,T,2W,F,F,08/20/2016,05:57:15,.761277980
48,3.536433368367e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.9210948944092,Volt DC,100,T,2W,F,F,08/20/2016,05:57:18,.764591780
49,3.932448144894e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.9611396789551,Volt DC,100,T,2W,F,F,08/20/2016,05:57:21,.769017400
50,3.932451697608e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.0012035369873,Volt DC,100,T,2W,F,F,08/20/2016,05:57:24,.772264120
51,8.448450827814e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.0409278869629,Volt DC,100,T,2W,F,F,08/20/2016,05:57:27,.775623020
52,3.65175534256e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.0809688568115,Volt DC,100,T,2W,F,F,08/20/2016,05:57:30,.778968680
53,2.669340304351e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.1214332580566,Volt DC,100,T,2W,F,F,08/20/2016,05:57:33,.782232560
54,-4.182600932268e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.1613655090332,Volt DC,100,T,2W,F,F,08/20/2016,05:57:36,.785493900
55,-9.796439215393e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.2013568878174,Volt DC,100,T,2W,F,F,08/20/2016,05:57:39,.788729700
56,2.107959140574e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.2412548065186,Volt DC,100,T,2W,F,F,08/20/2016,05:57:42,.792048560
57,1.125538773294e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.2812042236328,Volt DC,100,T,2W,F,F,08/20/2016,05:57:45,.795384260
58,-9.796456978961e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.3213043212891,Volt DC,100,T,2W,F,F,08/20/2016,05:57:48,.795906340
59,4.704350686779e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.3611545562744,Volt DC,100,T,2W,F,F,08/20/2016,05:57:51,.799126280
60,4.939844089336e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.4011363983154,Volt DC,100,T,2W,F,F,08/20/2016,05:57:54,.802481400
61,1.265885174462e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.4410114288330,Volt DC,100,T,2W,F,F,08/20/2016,05:57:57,.803781000
62,4.423662325337e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.4809837341309,Volt DC,100,T,2W,F,F,08/20/2016,05:58:00,.807002920
63,3.230717027236e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.5210475921631,Volt DC,100,T,2W,F,F,08/20/2016,05:58:03,.810325360
64,3.160551820258e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.5603561401367,Volt DC,100,T,2W,F,F,08/20/2016,05:58:06,.813520860
65,3.721931207679e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.6003036499023,Volt DC,100,T,2W,F,F,08/20/2016,05:58:09,.815438400
66,4.914864071281e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.6403560638428,Volt DC,100,T,2W,F,F,08/20/2016,05:58:12,.818721860
67,4.634174821661e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.6801853179932,Volt DC,100,T,2W,F,F,08/20/2016,05:58:15,.822022480
68,3.792101743727e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.7201194763184,Volt DC,100,T,2W,F,F,08/20/2016,05:58:18,.825383500
69,1.897436874287e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.7601642608643,Volt DC,100,T,2W,F,F,08/20/2016,05:58:21,.828527740
70,4.423657884445e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.8001022338867,Volt DC,100,T,2W,F,F,08/20/2016,05:58:24,.831761820
71,-8.392904149446e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.8435096740723,Volt DC,100,T,2W,F,F,08/20/2016,05:58:27,.834914480
72,2.03778593999e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.8832378387451,Volt DC,100,T,2W,F,F,08/20/2016,05:58:30,.838191000
73,7.294786996681e-11,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.9233417510986,Volt DC,100,T,2W,F,F,08/20/2016,05:58:33,.841449000
74,-2.779119157026e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,22.9633922576904,Volt DC,100,T,2W,F,F,08/20/2016,05:58:36,.844664720
75,4.42366054898e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.0035648345947,Volt DC,100,T,2W,F,F,08/20/2016,05:58:39,.847889380
76,4.939968434314e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.0434589385986,Volt DC,100,T,2W,F,F,08/20/2016,05:58:42,.850692860
77,2.809686705518e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.0834617614746,Volt DC,100,T,2W,F,F,08/20/2016,05:58:45,.853930600
78,-6.739675484368e-11,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.1233272552490,Volt DC,100,T,2W,F,F,08/20/2016,05:58:48,.857311600
79,2.03778061092e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.1633930206299,Volt DC,100,T,2W,F,F,08/20/2016,05:58:51,.860631660
80,-1.049813569409e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.2033424377441,Volt DC,100,T,2W,F,F,08/20/2016,05:58:54,.863919700
81,1.897435097931e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.2433528900146,Volt DC,100,T,2W,F,F,08/20/2016,05:58:57,.867203980
82,3.51141604682e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.2833900451660,Volt DC,100,T,2W,F,F,08/20/2016,05:59:00,.870509260
83,4.072789216991e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.3232021331787,Volt DC,100,T,2W,F,F,08/20/2016,05:59:03,.873852600
84,-4.884386228809e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.3632450103760,Volt DC,100,T,2W,F,F,08/20/2016,05:59:06,.877066060
85,3.581584806511e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,23.4026012420654,Volt DC,100,T,2W,F,F,08/20/2016,05:59:09,.878258880
