Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,250
Base Time Seconds,1471671472
Base Time Fractional,.697282040
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.459741293454e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0406398773193,Volt DC,100,T,2W,F,F,08/20/2016,05:37:52,.697282040
2,1.066902832747e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0806484222412,Volt DC,100,T,2W,F,F,08/20/2016,05:37:55,.700486120
3,-9.119664134971e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1204814910889,Volt DC,100,T,2W,F,F,08/20/2016,05:37:58,.703718400
4,-7.786392863807e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1604766845703,Volt DC,100,T,2W,F,F,08/20/2016,05:38:01,.706601940
5,8.704191145625e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2005844116211,Volt DC,100,T,2W,F,F,08/20/2016,05:38:04,.709785140
6,-4.558443400526e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2404994964600,Volt DC,100,T,2W,F,F,08/20/2016,05:38:07,.712965800
7,1.291455298258e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2804546356201,Volt DC,100,T,2W,F,F,08/20/2016,05:38:10,.716229260
8,-2.383097275072e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3203830718994,Volt DC,100,T,2W,F,F,08/20/2016,05:38:13,.719412540
9,9.476090134797e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3603725433350,Volt DC,100,T,2W,F,F,08/20/2016,05:38:16,.722637780
10,8.774365234387e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4003772735596,Volt DC,100,T,2W,F,F,08/20/2016,05:38:19,.723077400
11,7.746780994466e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4403133392334,Volt DC,100,T,2W,F,F,08/20/2016,05:38:22,.726370320
12,-9.260010536138e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4802799224854,Volt DC,100,T,2W,F,F,08/20/2016,05:38:25,.729593280
13,1.087954526469e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5201663970947,Volt DC,100,T,2W,F,F,08/20/2016,05:38:28,.732821620
14,9.195401773354e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5601711273193,Volt DC,100,T,2W,F,F,08/20/2016,05:38:31,.736067520
15,9.125227684592e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6034221649170,Volt DC,100,T,2W,F,F,08/20/2016,05:38:34,.739319480
16,9.686609736548e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6433811187744,Volt DC,100,T,2W,F,F,08/20/2016,05:38:37,.742572540
17,-3.365516754172e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6834716796875,Volt DC,100,T,2W,F,F,08/20/2016,05:38:40,.745729980
18,1.052868103812e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.7234420776367,Volt DC,100,T,2W,F,F,08/20/2016,05:38:43,.748918240
19,1.158127282963e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.7632141113281,Volt DC,100,T,2W,F,F,08/20/2016,05:38:46,.752087220
20,-8.558283859372e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8031978607178,Volt DC,100,T,2W,F,F,08/20/2016,05:38:49,.755284660
21,1.195713750235e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8425693511963,Volt DC,100,T,2W,F,F,08/20/2016,05:38:52,.758443100
22,-6.242584227323e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8824806213379,Volt DC,100,T,2W,F,F,08/20/2016,05:38:55,.761584280
23,-7.691225434314e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.9224205017090,Volt DC,100,T,2W,F,F,08/20/2016,05:38:58,.764754800
24,-5.961902083129e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.9622840881348,Volt DC,100,T,2W,F,F,08/20/2016,05:39:01,.767604220
25,8.072636781264e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0022735595703,Volt DC,100,T,2W,F,F,08/20/2016,05:39:04,.770841960
26,1.038833641331e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0424079895020,Volt DC,100,T,2W,F,F,08/20/2016,05:39:07,.771544860
27,1.757099354904e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0823326110840,Volt DC,100,T,2W,F,F,08/20/2016,05:39:10,.774727920
28,-7.295178683364e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.1223106384277,Volt DC,100,T,2W,F,F,08/20/2016,05:39:13,.777991820
29,3.862277608846e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.1622409820557,Volt DC,100,T,2W,F,F,08/20/2016,05:39:16,.781169100
30,1.07391997517e-08,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.2021789550781,Volt DC,100,T,2W,F,F,08/20/2016,05:39:19,.784340480
31,8.142811758205e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.2421722412109,Volt DC,100,T,2W,F,F,08/20/2016,05:39:22,.787536140
32,-3.084818622767e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.2823829650879,Volt DC,100,T,2W,F,F,08/20/2016,05:39:25,.790724860
