Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,125
Base Time Seconds,1471576028
Base Time Fractional,.476361560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,4.238112083499e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0406837463379,Volt DC,100,T,2W,F,F,08/19/2016,03:07:08,.476361560
2,9.150138424729e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0807495117188,Volt DC,100,T,2W,F,F,08/19/2016,03:07:12,.480702660
3,1.055362908176e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1205501556396,Volt DC,100,T,2W,F,F,08/19/2016,03:07:16,.485053900
4,-2.779199093084e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1605682373047,Volt DC,100,T,2W,F,F,08/19/2016,03:07:20,.489391040
5,2.52899035047e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2005805969238,Volt DC,100,T,2W,F,F,08/19/2016,03:07:24,.493825500
6,7.044995697925e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2404708862305,Volt DC,100,T,2W,F,F,08/19/2016,03:07:28,.499430220
7,2.950024224901e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2804317474365,Volt DC,100,T,2W,F,F,08/19/2016,03:07:32,.503657840
8,3.792096414656e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3203659057617,Volt DC,100,T,2W,F,F,08/19/2016,03:07:36,.508052940
9,7.746807639819e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3603343963623,Volt DC,100,T,2W,F,F,08/19/2016,03:07:40,.512430240
10,1.195705756629e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4003658294678,Volt DC,100,T,2W,F,F,08/19/2016,03:07:44,.516693300
11,1.546575312261e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4403839111328,Volt DC,100,T,2W,F,F,08/19/2016,03:07:48,.520866780
12,2.772004847884e-12,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4804210662842,Volt DC,100,T,2W,F,F,08/19/2016,03:07:52,.525006760
13,4.939773035062e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5202732086182,Volt DC,100,T,2W,F,F,08/19/2016,03:07:56,.529394580
14,2.528998344076e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5602264404297,Volt DC,100,T,2W,F,F,08/19/2016,03:08:00,.533777260
15,9.851870430566e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6034622192383,Volt DC,100,T,2W,F,F,08/19/2016,03:08:04,.537507520
16,2.879859906102e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6434898376465,Volt DC,100,T,2W,F,F,08/19/2016,03:08:08,.541897060
17,4.238041029225e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.6835079193115,Volt DC,100,T,2W,F,F,08/19/2016,03:08:12,.546287100
18,3.441241069879e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.7234230041504,Volt DC,100,T,2W,F,F,08/19/2016,03:08:16,.550687980
19,3.371060763868e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.7633132934570,Volt DC,100,T,2W,F,F,08/19/2016,03:08:20,.555018640
20,-8.392939676583e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8033142089844,Volt DC,100,T,2W,F,F,08/19/2016,03:08:24,.559374640
21,3.02020009002e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8426856994629,Volt DC,100,T,2W,F,F,08/19/2016,03:08:28,.563729680
22,4.002613351872e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.8826293945313,Volt DC,100,T,2W,F,F,08/19/2016,03:08:32,.568179180
23,1.546571759548e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.9226226806641,Volt DC,100,T,2W,F,F,08/19/2016,03:08:36,.569956240
24,-4.18262757762e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.9624252319336,Volt DC,100,T,2W,F,F,08/19/2016,03:08:40,.574292240
25,2.83465695361e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0023555755615,Volt DC,100,T,2W,F,F,08/19/2016,03:08:44,.578742000
26,2.037776170027e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0423412322998,Volt DC,100,T,2W,F,F,08/19/2016,03:08:48,.583060160
27,2.132862775284e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.0823402404785,Volt DC,100,T,2W,F,F,08/19/2016,03:08:52,.587337780
28,7.045013461493e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.1222229003906,Volt DC,100,T,2W,F,F,08/19/2016,03:08:56,.591762220
29,2.834603662905e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,21.1622142791748,Volt DC,100,T,2W,F,F,08/19/2016,03:09:00,.596094400
