Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,125
Base Time Seconds,1471478087
Base Time Fractional,.456717520
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.669292342716e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0408191680908,Volt DC,100,T,2W,F,F,08/17/2016,23:54:47,.456717520
2,1.616697886675e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0809288024902,Volt DC,100,T,2W,F,F,08/17/2016,23:54:51,.460786960
3,4.493792893356e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1207427978516,Volt DC,100,T,2W,F,F,08/17/2016,23:54:55,.464942440
4,1.125489035303e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1607322692871,Volt DC,100,T,2W,F,F,08/17/2016,23:54:59,.469105180
5,3.371025236731e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2007179260254,Volt DC,100,T,2W,F,F,08/17/2016,23:55:03,.471688140
6,1.265829219221e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2405776977539,Volt DC,100,T,2W,F,F,08/17/2016,23:55:07,.475832480
7,1.897393353545e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2806091308594,Volt DC,100,T,2W,F,F,08/17/2016,23:55:11,.479995960
8,8.447926802546e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3204402923584,Volt DC,100,T,2W,F,F,08/17/2016,23:55:15,.484152220
9,2.879817273538e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3605365753174,Volt DC,100,T,2W,F,F,08/17/2016,23:55:19,.484327860
10,4.072752801676e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4005622863770,Volt DC,100,T,2W,F,F,08/17/2016,23:55:23,.488487560
11,3.581541285769e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4405632019043,Volt DC,100,T,2W,F,F,08/17/2016,23:55:27,.492663000
12,3.441197549137e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4804630279541,Volt DC,100,T,2W,F,F,08/17/2016,23:55:31,.496960100
