Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,125
Base Time Seconds,1471479446
Base Time Fractional,.145449480
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.33601663066e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0407981872559,Volt DC,100,T,2W,F,F,08/18/2016,00:17:26,.145449480
2,2.388611974879e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.0808525085449,Volt DC,100,T,2W,F,F,08/18/2016,00:17:30,.147766000
3,3.581554608445e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1206150054932,Volt DC,100,T,2W,F,F,08/18/2016,00:17:34,.152058800
4,2.458780734571e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.1606559753418,Volt DC,100,T,2W,F,F,08/18/2016,00:17:38,.156200200
5,2.388611974879e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2005920410156,Volt DC,100,T,2W,F,F,08/18/2016,00:17:42,.160388180
6,2.809646737489e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2405586242676,Volt DC,100,T,2W,F,F,08/18/2016,00:17:46,.164696620
7,3.160512740408e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.2805843353271,Volt DC,100,T,2W,F,F,08/18/2016,00:17:50,.167475880
8,2.809652954738e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3204116821289,Volt DC,100,T,2W,F,F,08/18/2016,00:17:54,.169278560
9,2.879825267144e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.3605098724365,Volt DC,100,T,2W,F,F,08/18/2016,00:17:58,.173619480
10,2.949993138657e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4005203247070,Volt DC,100,T,2W,F,F,08/18/2016,00:18:02,.177974600
11,3.441201990029e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4404392242432,Volt DC,100,T,2W,F,F,08/18/2016,00:18:06,.178768680
12,2.879825267144e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.4803180694580,Volt DC,100,T,2W,F,F,08/18/2016,00:18:10,.183061440
13,2.45878695182e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,20.5202789306641,Volt DC,100,T,2W,F,F,08/18/2016,00:18:14,.187231680
