Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,125
Base Time Seconds,1471483834
Base Time Fractional,.377688340
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,4.237961093168e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.0437355041504,Volt DC,100,T,2W,F,F,08/18/2016,01:30:34,.377688340
2,1.055350473678e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.0836830139160,Volt DC,100,T,2W,F,F,08/18/2016,01:30:38,.378362740
3,1.265870075429e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.1229782104492,Volt DC,100,T,2W,F,F,08/18/2016,01:30:42,.382495760
4,1.757075374087e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.1629295349121,Volt DC,100,T,2W,F,F,08/18/2016,01:30:46,.383616400
5,1.406214700239e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.2030200958252,Volt DC,100,T,2W,F,F,08/18/2016,01:30:50,.387704480
6,-1.190172405074e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.2427196502686,Volt DC,100,T,2W,F,F,08/18/2016,01:30:54,.390137060
7,4.939693099004e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.2827587127686,Volt DC,100,T,2W,F,F,08/18/2016,01:30:58,.394147360
8,1.431086360526e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.3228378295898,Volt DC,100,T,2W,F,F,08/18/2016,01:31:02,.398220020
9,-6.741451841208e-11,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.3628463745117,Volt DC,100,T,2W,F,F,08/18/2016,01:31:06,.402266280
10,1.616733413812e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.4028320312500,Volt DC,100,T,2W,F,F,08/18/2016,01:31:10,.406337860
11,6.343130465325e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.4427089691162,Volt DC,100,T,2W,F,F,08/18/2016,01:31:14,.406470040
12,2.834523726847e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.4826068878174,Volt DC,100,T,2W,F,F,08/18/2016,01:31:18,.410539740
13,2.834497081494e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.5227222442627,Volt DC,100,T,2W,F,F,08/18/2016,01:31:22,.414576740
14,1.431086360526e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.5617504119873,Volt DC,100,T,2W,F,F,08/18/2016,01:31:26,.418670280
15,-6.98968882773e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.6017990112305,Volt DC,100,T,2W,F,F,08/18/2016,01:31:30,.422749500
16,7.74657671343e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.6416931152344,Volt DC,100,T,2W,F,F,08/18/2016,01:31:34,.426848500
17,6.343148228893e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.6817302703857,Volt DC,100,T,2W,F,F,08/18/2016,01:31:38,.430923560
18,1.476395894429e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.7216453552246,Volt DC,100,T,2W,F,F,08/18/2016,01:31:42,.433793900
19,1.546558436871e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.7616271972656,Volt DC,100,T,2W,F,F,08/18/2016,01:31:46,.437854320
20,7.04488023473e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.8015651702881,Volt DC,100,T,2W,F,F,08/18/2016,01:31:50,.441943000
21,9.150129542945e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.8416919708252,Volt DC,100,T,2W,F,F,08/18/2016,01:31:54,.446008520
22,1.686906614395e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.8814983367920,Volt DC,100,T,2W,F,F,08/18/2016,01:31:58,.450075880
23,4.939764153278e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.9215698242188,Volt DC,100,T,2W,F,F,08/18/2016,01:32:02,.454145300
24,1.19569953938e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,25.9608726501465,Volt DC,100,T,2W,F,F,08/18/2016,01:32:06,.457928520
25,1.125529003332e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.0008583068848,Volt DC,100,T,2W,F,F,08/18/2016,01:32:10,.462042700
26,2.879848359782e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.0407047271729,Volt DC,100,T,2W,F,F,08/18/2016,01:32:14,.466134300
27,1.195695098488e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.0806903839111,Volt DC,100,T,2W,F,F,08/18/2016,01:32:18,.470179080
28,2.834550372199e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.1205558776855,Volt DC,100,T,2W,F,F,08/18/2016,01:32:22,.472694400
29,-1.049826003907e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.1606502532959,Volt DC,100,T,2W,F,F,08/18/2016,01:32:26,.476813340
30,4.237925566031e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.2005882263184,Volt DC,100,T,2W,F,F,08/18/2016,01:32:30,.480882340
31,-6.989617773456e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.2405548095703,Volt DC,100,T,2W,F,F,08/18/2016,01:32:34,.484435720
32,1.61672897292e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.2804527282715,Volt DC,100,T,2W,F,F,08/18/2016,01:32:38,.488529240
33,-6.287903531188e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.3204326629639,Volt DC,100,T,2W,F,F,08/18/2016,01:32:42,.492573620
34,1.125523674261e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.3604469299316,Volt DC,100,T,2W,F,F,08/18/2016,01:32:46,.496639380
35,4.238032147441e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.4006938934326,Volt DC,100,T,2W,F,F,08/18/2016,01:32:50,.500691800
36,2.107953811503e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.4405879974365,Volt DC,100,T,2W,F,F,08/18/2016,01:32:54,.504734300
37,2.834541490415e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.4806747436523,Volt DC,100,T,2W,F,F,08/18/2016,01:32:58,.508802020
38,4.23798773852e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.5204696655273,Volt DC,100,T,2W,F,F,08/18/2016,01:33:02,.510009800
39,1.546568206834e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.5603942871094,Volt DC,100,T,2W,F,F,08/18/2016,01:33:06,.514051420
40,2.758682171589e-12,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.6004657745361,Volt DC,100,T,2W,F,F,08/18/2016,01:33:10,.518126200
41,-7.691403069998e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.6405315399170,Volt DC,100,T,2W,F,F,08/18/2016,01:33:14,.522194340
42,8.448370891756e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.6804695129395,Volt DC,100,T,2W,F,F,08/18/2016,01:33:18,.522496160
43,8.448406418893e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.7203235626221,Volt DC,100,T,2W,F,F,08/18/2016,01:33:22,.526574360
44,1.055355802748e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.7602500915527,Volt DC,100,T,2W,F,F,08/18/2016,01:33:26,.530633280
45,2.037770840957e-09,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.8004913330078,Volt DC,100,T,2W,F,F,08/18/2016,01:33:30,.534723840
46,9.851826021645e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.8396301269531,Volt DC,100,T,2W,F,F,08/18/2016,01:33:34,.538795240
47,-9.094813790966e-10,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,26.8795204162598,Volt DC,100,T,2W,F,F,08/18/2016,01:33:38,.542847900
